study_name,process_b,process_b_domain,process_b_domain_new,response,process_b_label,process_b_domain_label
octo,clock,mental status,mental status,,MMSE,Mental Status
octo,mmse,mental status,mental status,,MMSE,Mental Status
satsa,mmse,mental status,mental status,,MMSE,Mental Status
satsa,fig_id,perceptual speed,perceptual reasoning,,Figure Identification,Perceptual Reasoning
nas,pat_comp,perceptual speed,perceptual reasoning,,Pattern Comparison,Perceptual Reasoning
eas,block,fluid reasoning,perceptual reasoning,,Block Design,Perceptual Reasoning
ilse,block,fluid reasoning,perceptual reasoning,,Block Design,Perceptual Reasoning
octo,block,fluid reasoning,perceptual reasoning,,Block Design,Perceptual Reasoning
satsa,block,fluid reasoning,perceptual reasoning,,Block Design,Perceptual Reasoning
satsa,rotate,fluid reasoning,perceptual reasoning,,Card Rotation,Perceptual Reasoning
nas,fig_copy,fluid reasoning,perceptual reasoning,,Figure Copy,Perceptual Reasoning
octo,fig_logic,fluid reasoning,perceptual reasoning,,Figure Logic,Perceptual Reasoning
ilse,spatial_ab,fluid reasoning,perceptual reasoning,,IPSS Spatial Ability,Perceptual Reasoning
map,line,visual discrimination,perceptual reasoning,,Line Orientation,Perceptual Reasoning
ilse,piccomp,visual discrimination,perceptual reasoning,,Picture Comletion,Perceptual Reasoning
lasa,raven_color_ab,fluid reasoning,perceptual reasoning,,Progressive Matrices,Perceptual Reasoning
map,raven_standard,fluid reasoning,perceptual reasoning,,Progressive Matrices,Perceptual Reasoning
lasa,letter,perceptual speed,perceptual speed,,Coding,Processing Speed
map,num_comp,perceptual speed,perceptual speed,,Number Comparison,Processing Speed
octo,psif,perceptual speed,perceptual speed,,Perceptual Speed,Processing Speed
eas,symbol,perceptual speed,perceptual speed,,Symbol,Processing Speed
ilse,symbol,perceptual speed,perceptual speed,,Symbol,Processing Speed
map,symbol,perceptual speed,perceptual speed,,Symbol,Processing Speed
octo,symbol,perceptual speed,perceptual speed,,Symbol,Processing Speed
satsa,symbol,perceptual speed,perceptual speed,,Symbol,Processing Speed
satsa,analogies,fluid reasoning,verbal ability,,Analogies,Verbal Ability
nas,animals,fluency,verbal ability,,Animals,Verbal Ability
eas,bnt,semantic memory,verbal ability,,Boston Naming Test,Verbal Ability
map,bnt,semantic memory,verbal ability,,Boston Naming Test,Verbal Ability
eas,categories,fluency,verbal ability,,Categories,Verbal Ability
map,categories,fluency,verbal ability,,Categories,Verbal Ability
eas,fas,fluency,verbal ability,,FAS,Verbal Ability
elsa,fluency,fluency,verbal ability,,Fluency,Verbal Ability
ilse,fluency,fluency,verbal ability,,Fluency,Verbal Ability
eas,information,semantic memory,verbal ability,,Information,Verbal Ability
ilse,waisgeneral,semantic memory,verbal ability,,Information,Verbal Ability
octo,information,semantic memory,verbal ability,,Information,Verbal Ability
satsa,information,semantic memory,verbal ability,,Information,Verbal Ability
map,nart,semantic memory,verbal ability,,NART,Verbal Ability
octo,synonyms,semantic memory,verbal ability,,Synonyms,Verbal Ability
satsa,synonyms,semantic memory,verbal ability,,Synonyms,Verbal Ability
eas,waisvocab,semantic memory,verbal ability,,Vocabulary,Verbal Ability
