study_name,process,subgroup,n,species,intercept,slope,process_group,subgroup_group,n_group
eas,categories,female,150,intercept," 38.58(2.78),$p$<.01"," -0.78(0.72),$p$=.28",categories,female,150
eas,categories,female,150,age," -0.35(0.19),$p$=.07"," -0.03(0.04),$p$=.48",categories,female,150
eas,categories,female,150,education,"  0.72(0.29),$p$=.01","  0.07(0.06),$p$=.27",categories,female,150
eas,categories,female,150,height," -0.10(0.14),$p$=.49","  0.00(0.03),$p$=.89",categories,female,150
eas,categories,female,150,smoking,"  0.78(1.34),$p$=.56","  0.08(0.39),$p$=.84",categories,female,150
eas,categories,female,150,cardio,"  1.06(3.11),$p$=.73","  0.00(0.76),$p$=.96",categories,female,150
eas,categories,female,150,diabetes," -5.08(2.30),$p$=.03","  0.01(0.66),$p$=.95",categories,female,150
eas,categories,male,72,intercept," 30.41(8.01),$p$<.01","  0.89(1.76),$p$=.61",categories,male,72
eas,categories,male,72,age," -0.16(0.47),$p$=.73"," -0.06(0.08),$p$=.51",categories,male,72
eas,categories,male,72,education,"  1.05(0.70),$p$=.13"," -0.11(0.15),$p$=.46",categories,male,72
eas,categories,male,72,height," -0.11(0.20),$p$=.59"," -0.01(0.05),$p$=.78",categories,male,72
eas,categories,male,72,smoking,"  3.64(4.95),$p$=.46"," -0.45(0.92),$p$=.63",categories,male,72
eas,categories,male,72,cardio," -0.63(8.06),$p$=.94","  0.14(1.31),$p$=.91",categories,male,72
eas,categories,male,72,diabetes," -1.02(3.98),$p$=.80","  0.28(0.84),$p$=.74",categories,male,72
eas,digit_tot,female,150,intercept," 13.64(0.93),$p$<.01","  0.24(0.19),$p$=.19",digit_tot,female,150
eas,digit_tot,female,150,age," -0.07(0.07),$p$=.30"," -0.01(0.02),$p$=.34",digit_tot,female,150
eas,digit_tot,female,150,education,"  0.28(0.09),$p$<.01"," -0.02(0.02),$p$=.34",digit_tot,female,150
eas,digit_tot,female,150,height,"  0.03(0.05),$p$=.57"," -0.01(0.01),$p$=.17",digit_tot,female,150
eas,digit_tot,female,150,smoking,"  0.41(0.52),$p$=.43"," -0.02(0.13),$p$=.88",digit_tot,female,150
eas,digit_tot,female,150,cardio," -0.33(1.07),$p$=.76"," -0.11(0.30),$p$=.72",digit_tot,female,150
eas,digit_tot,female,150,diabetes," -1.59(0.80),$p$=.05","  0.06(0.15),$p$=.70",digit_tot,female,150
eas,digit_tot,male,72,intercept," 12.89(3.48),$p$<.01"," -0.10(0.59),$p$=.88",digit_tot,male,72
eas,digit_tot,male,72,age," -0.02(0.16),$p$=.90","  0.01(0.04),$p$=.79",digit_tot,male,72
eas,digit_tot,male,72,education,"  0.34(0.24),$p$=.18"," -0.00(0.04),$p$=.95",digit_tot,male,72
eas,digit_tot,male,72,height," -0.14(0.08),$p$=.08","  0.01(0.02),$p$=.66",digit_tot,male,72
eas,digit_tot,male,72,smoking,"  1.23(1.74),$p$=.48"," -0.16(0.25),$p$=.53",digit_tot,male,72
eas,digit_tot,male,72,cardio,"  0.45(1.64),$p$=.76","  0.07(0.65),$p$=.92",digit_tot,male,72
eas,digit_tot,male,72,diabetes," -1.18(1.71),$p$=.50","  0.00(0.45),$p$=.99",digit_tot,male,72
eas,fas,female,150,intercept," 30.42(3.68),$p$<.01","  0.44(0.70),$p$=.53",fas,female,150
eas,fas,female,150,age," -0.34(0.28),$p$=.21"," -0.06(0.04),$p$=.09",fas,female,150
eas,fas,female,150,education,"  1.28(0.36),$p$<.01","  0.02(0.07),$p$=.75",fas,female,150
eas,fas,female,150,height," -0.11(0.18),$p$=.53","  0.00(0.02),$p$=.97",fas,female,150
eas,fas,female,150,smoking,"  2.92(1.59),$p$=.06"," -0.08(0.38),$p$=.84",fas,female,150
eas,fas,female,150,cardio," -2.02(3.62),$p$=.58","  0.07(0.79),$p$=.93",fas,female,150
eas,fas,female,150,diabetes," -7.09(2.74),$p$=.01","  0.48(0.54),$p$=.37",fas,female,150
eas,fas,male,72,intercept," 27.23(7.48),$p$<.01","  1.29(1.26),$p$=.31",fas,male,72
eas,fas,male,72,age," -0.02(0.42),$p$=.96"," -0.01(0.08),$p$=.89",fas,male,72
eas,fas,male,72,education,"  1.59(0.69),$p$=.03"," -0.14(0.13),$p$=.27",fas,male,72
eas,fas,male,72,height," -0.33(0.38),$p$=.39","  0.00(0.07),$p$=.99",fas,male,72
eas,fas,male,72,smoking,"  1.48(4.28),$p$=.73","  0.23(0.64),$p$=.72",fas,male,72
eas,fas,male,72,cardio,"  0.95(7.87),$p$=.90"," -0.55(1.84),$p$=.76",fas,male,72
eas,fas,male,72,diabetes," -6.25(5.25),$p$=.23","  0.06(0.92),$p$=.95",fas,male,72
eas,gait,female,150,intercept,"109.88(8.33),$p$<.01"," -3.29(2.60),$p$=.16",gait,female,150
eas,gait,female,150,age," -1.56(0.51),$p$<.01"," -0.05(0.13),$p$=.70",gait,female,150
eas,gait,female,150,education,"  0.40(0.82),$p$=.63","  0.09(0.27),$p$=.72",gait,female,150
eas,gait,female,150,height,"  0.05(0.34),$p$=.88","  0.06(0.07),$p$=.37",gait,female,150
eas,gait,female,150,smoking,"  3.05(4.04),$p$=.45"," -0.29(1.23),$p$=.80",gait,female,150
eas,gait,female,150,cardio," -4.83(7.43),$p$=.52"," -0.00(2.18),$p$=.96",gait,female,150
eas,gait,female,150,diabetes,"-18.77(6.24),$p$<.01","  0.61(2.17),$p$=.79",gait,female,150
eas,gait,male,72,intercept,"106.26(13.87),$p$<.01"," -1.81(5.47),$p$=.72",gait,male,72
eas,gait,male,72,age," -0.46(0.64),$p$=.47"," -0.11(0.22),$p$=.61",gait,male,72
eas,gait,male,72,education,"  0.66(1.05),$p$=.51"," -0.27(0.31),$p$=.37",gait,male,72
eas,gait,male,72,height,"  0.05(0.47),$p$=.92","  0.05(0.18),$p$=.81",gait,male,72
eas,gait,male,72,smoking," -1.64(7.59),$p$=.82","  0.99(2.71),$p$=.70",gait,male,72
eas,gait,male,72,cardio," -4.13(12.01),$p$=.71","  1.28(3.45),$p$=.74",gait,male,72
eas,gait,male,72,diabetes," -4.96(9.20),$p$=.59","  0.17(3.49),$p$=.95",gait,male,72
eas,grip,female,150,intercept," 18.60(1.67),$p$<.01"," -2.35(0.47),$p$<.01",grip,female,150
eas,grip,female,150,age,"  0.06(0.12),$p$=.63"," -0.06(0.03),$p$=.05",grip,female,150
eas,grip,female,150,education," -0.14(0.15),$p$=.35","  0.10(0.04),$p$=.02",grip,female,150
eas,grip,female,150,height,"  0.21(0.07),$p$=.01"," -0.01(0.02),$p$=.75",grip,female,150
eas,grip,female,150,smoking,"  0.94(0.94),$p$=.31"," -0.00(0.30),$p$=.96",grip,female,150
eas,grip,female,150,cardio,"  0.25(2.43),$p$=.92","  0.32(0.57),$p$=.54",grip,female,150
eas,grip,female,150,diabetes," -2.13(1.60),$p$=.19","  0.19(0.38),$p$=.64",grip,female,150
eas,grip,male,72,intercept," 36.36(5.45),$p$<.01"," -2.39(1.47),$p$=.10",grip,male,72
eas,grip,male,72,age," -0.53(0.29),$p$=.07"," -0.04(0.10),$p$=.69",grip,male,72
eas,grip,male,72,education," -0.27(0.45),$p$=.54","  0.03(0.12),$p$=.79",grip,male,72
eas,grip,male,72,height,"  0.21(0.20),$p$=.30","  0.00(0.06),$p$=.97",grip,male,72
eas,grip,male,72,smoking," -0.17(3.31),$p$=.96","  0.39(0.97),$p$=.69",grip,male,72
eas,grip,male,72,cardio," -0.42(3.47),$p$=.91","  0.77(1.20),$p$=.51",grip,male,72
eas,grip,male,72,diabetes," -0.43(3.31),$p$=.90"," -0.44(1.08),$p$=.68",grip,male,72
eas,information,female,137,intercept," 13.16(2.05),$p$<.01","  0.27(0.59),$p$=.65",information,female,137
eas,information,female,137,age," -0.13(0.14),$p$=.33","  0.01(0.04),$p$=.87",information,female,137
eas,information,female,137,education,"  0.88(0.24),$p$<.01"," -0.04(0.06),$p$=.52",information,female,137
eas,information,female,137,height," -0.01(0.08),$p$=.87","  0.01(0.03),$p$=.85",information,female,137
eas,information,female,137,smoking,"  0.29(0.82),$p$=.72"," -0.01(0.36),$p$=.99",information,female,137
eas,information,female,137,cardio,"  0.75(1.81),$p$=.67"," -0.26(0.35),$p$=.46",information,female,137
eas,information,female,137,diabetes," -2.61(1.33),$p$=.05"," -0.26(0.52),$p$=.62",information,female,137
eas,information,male,71,intercept," 17.84(3.82),$p$<.01"," -0.65(1.14),$p$=.57",information,male,71
eas,information,male,71,age," -0.05(0.23),$p$=.83","  0.01(0.05),$p$=.84",information,male,71
eas,information,male,71,education,"  0.67(0.33),$p$=.04","  0.04(0.12),$p$=.74",information,male,71
eas,information,male,71,height," -0.04(0.18),$p$=.84","  0.01(0.05),$p$=.91",information,male,71
eas,information,male,71,smoking," -0.22(1.81),$p$=.90","  0.13(0.51),$p$=.79",information,male,71
eas,information,male,71,cardio," -1.23(2.67),$p$=.64"," -0.10(0.75),$p$=.90",information,male,71
eas,information,male,71,diabetes," -1.40(2.55),$p$=.58"," -0.10(0.77),$p$=.90",information,male,71
eas,logic_tot,female,150,intercept," 18.22(2.07),$p$<.01"," -0.06(0.44),$p$=.90",logic_tot,female,150
eas,logic_tot,female,150,age," -0.12(0.13),$p$=.32"," -0.01(0.03),$p$=.64",logic_tot,female,150
eas,logic_tot,female,150,education,"  0.71(0.22),$p$<.01","  0.01(0.04),$p$=.80",logic_tot,female,150
eas,logic_tot,female,150,height,"  0.08(0.10),$p$=.40"," -0.00(0.02),$p$=.82",logic_tot,female,150
eas,logic_tot,female,150,smoking,"  0.64(1.11),$p$=.56"," -0.02(0.30),$p$=.94",logic_tot,female,150
eas,logic_tot,female,150,cardio,"  0.28(2.93),$p$=.92","  0.26(0.73),$p$=.72",logic_tot,female,150
eas,logic_tot,female,150,diabetes," -1.13(1.90),$p$=.55"," -0.10(0.40),$p$=.81",logic_tot,female,150
eas,logic_tot,male,72,intercept," 15.22(5.22),$p$<.01","  1.67(1.03),$p$=.11",logic_tot,male,72
eas,logic_tot,male,72,age," -0.12(0.28),$p$=.67"," -0.08(0.06),$p$=.20",logic_tot,male,72
eas,logic_tot,male,72,education,"  0.86(0.36),$p$=.02"," -0.13(0.07),$p$=.08",logic_tot,male,72
eas,logic_tot,male,72,height,"  0.09(0.16),$p$=.59"," -0.02(0.04),$p$=.64",logic_tot,male,72
eas,logic_tot,male,72,smoking," -0.08(3.18),$p$=.98"," -0.06(0.58),$p$=.92",logic_tot,male,72
eas,logic_tot,male,72,cardio,"  1.32(2.78),$p$=.63"," -0.53(0.90),$p$=.54",logic_tot,male,72
eas,logic_tot,male,72,diabetes,"  1.54(2.55),$p$=.54","  0.53(0.79),$p$=.49",logic_tot,male,72
eas,mmms,female,111,intercept," 26.33(0.63),$p$<.01","  0.02(0.19),$p$=.57",mmms,female,111
eas,mmms,female,111,age," -0.00(0.04),$p$=.92"," -0.00(0.01),$p$=.59",mmms,female,111
eas,mmms,female,111,education,"  0.08(0.05),$p$=.16"," -0.00(0.01),$p$=.72",mmms,female,111
eas,mmms,female,111,height,"  0.01(0.03),$p$=.78"," -0.00(0.01),$p$=.72",mmms,female,111
eas,mmms,female,111,smoking," -0.00(0.33),$p$=.49","  0.03(0.09),$p$=.74",mmms,female,111
eas,mmms,female,111,cardio," -0.02(0.48),$p$=.84"," -0.03(0.20),$p$=.77",mmms,female,111
eas,mmms,female,111,diabetes," -0.14(0.41),$p$=.73","  0.03(0.11),$p$=.81",mmms,female,111
eas,mmms,male,72,intercept," 26.68(0.80),$p$<.01"," -0.06(0.29),$p$=.84",mmms,male,72
eas,mmms,male,72,age," -0.00(0.04),$p$=.98"," -0.00(0.02),$p$=.86",mmms,male,72
eas,mmms,male,72,education,"  0.06(0.06),$p$=.34","  0.00(0.02),$p$=.91",mmms,male,72
eas,mmms,male,72,height,"  0.00(0.03),$p$=.96"," -0.00(0.01),$p$=.94",mmms,male,72
eas,mmms,male,72,smoking," -0.22(0.44),$p$=.62","  0.06(0.13),$p$=.63",mmms,male,72
eas,mmms,male,72,cardio,"  0.06(0.65),$p$=.92"," -0.03(0.28),$p$=.91",mmms,male,72
eas,mmms,male,72,diabetes," -0.09(0.46),$p$=.84","  0.03(0.16),$p$=.86",mmms,male,72
eas,pef,female,150,intercept,"344.91(25.83),$p$<.01","-28.63(6.97),$p$<.01",pef,female,150
eas,pef,female,150,age," -4.28(1.83),$p$=.02","  0.16(0.49),$p$=.74",pef,female,150
eas,pef,female,150,education," -2.12(2.75),$p$=.44","  0.71(0.76),$p$=.35",pef,female,150
eas,pef,female,150,height,"  0.46(1.22),$p$=.71","  0.59(0.28),$p$=.04",pef,female,150
eas,pef,female,150,smoking," -0.44(15.45),$p$=.97","  1.90(3.34),$p$=.56",pef,female,150
eas,pef,female,150,cardio,"-22.00(30.23),$p$=.46","  2.86(9.89),$p$=.79",pef,female,150
eas,pef,female,150,diabetes,"-26.19(25.44),$p$=.30"," -0.55(8.66),$p$=.94",pef,female,150
eas,pef,male,72,intercept,"449.94(90.97),$p$<.01","-32.02(35.01),$p$=.34",pef,male,72
eas,pef,male,72,age," -5.15(6.60),$p$=.41","  0.44(2.51),$p$=.86",pef,male,72
eas,pef,male,72,education,"  4.99(7.95),$p$=.52","  0.32(2.16),$p$=.88",pef,male,72
eas,pef,male,72,height,"  3.36(3.74),$p$=.34"," -0.19(1.35),$p$=.89",pef,male,72
eas,pef,male,72,smoking,"-29.25(70.39),$p$=.68","  3.78(20.02),$p$=.83",pef,male,72
eas,pef,male,72,cardio,"-23.91(78.80),$p$=.74"," -1.93(22.17),$p$=.88",pef,male,72
eas,pef,male,72,diabetes,"-12.45(63.78),$p$=.85"," -1.92(20.41),$p$=.91",pef,male,72
eas,symbol,female,150,intercept," 41.23(3.25),$p$<.01","  0.32(0.62),$p$=.60",symbol,female,150
eas,symbol,female,150,age," -0.40(0.27),$p$=.13"," -0.05(0.03),$p$=.09",symbol,female,150
eas,symbol,female,150,education,"  1.76(0.35),$p$<.01"," -0.05(0.07),$p$=.49",symbol,female,150
eas,symbol,female,150,height,"  0.05(0.20),$p$=.78","  0.01(0.03),$p$=.89",symbol,female,150
eas,symbol,female,150,smoking,"  2.34(2.19),$p$=.28","  0.03(0.40),$p$=.93",symbol,female,150
eas,symbol,female,150,cardio," -5.04(6.40),$p$=.42","  0.05(0.77),$p$=.93",symbol,female,150
eas,symbol,female,150,diabetes," -6.68(2.75),$p$=.01"," -0.27(0.52),$p$=.63",symbol,female,150
eas,symbol,male,72,intercept," 40.18(10.26),$p$<.01","  0.66(2.24),$p$=.79",symbol,male,72
eas,symbol,male,72,age," -0.12(0.37),$p$=.74"," -0.04(0.10),$p$=.71",symbol,male,72
eas,symbol,male,72,education,"  1.30(0.75),$p$=.08"," -0.16(0.17),$p$=.34",symbol,male,72
eas,symbol,male,72,height,"  0.12(0.33),$p$=.73","  0.00(0.08),$p$=.98",symbol,male,72
eas,symbol,male,72,smoking,"  0.33(5.02),$p$=.96"," -0.04(0.96),$p$=.91",symbol,male,72
eas,symbol,male,72,cardio," -4.75(6.17),$p$=.44","  0.56(1.61),$p$=.73",symbol,male,72
eas,symbol,male,72,diabetes," -4.30(4.60),$p$=.35","  0.25(1.01),$p$=.80",symbol,male,72
eas,trailsb,female,150,intercept,"162.47(19.41),$p$<.01","  3.44(5.71),$p$=.49",trailsb,female,150
eas,trailsb,female,150,age,"  1.81(1.40),$p$=.20","  0.20(0.32),$p$=.54",trailsb,female,150
eas,trailsb,female,150,education," -7.00(2.04),$p$<.01"," -0.25(0.60),$p$=.63",trailsb,female,150
eas,trailsb,female,150,height,"  0.12(0.88),$p$=.90"," -0.01(0.22),$p$=.97",trailsb,female,150
eas,trailsb,female,150,smoking,"-11.49(8.30),$p$=.17"," -0.38(2.70),$p$=.89",trailsb,female,150
eas,trailsb,female,150,cardio," 26.91(19.19),$p$=.16"," -2.06(7.64),$p$=.77",trailsb,female,150
eas,trailsb,female,150,diabetes," 31.07(17.17),$p$=.07","  2.62(4.44),$p$=.56",trailsb,female,150
eas,trailsb,male,72,intercept,"154.66(49.68),$p$<.01","  2.76(11.68),$p$=.80",trailsb,male,72
eas,trailsb,male,72,age,"  1.00(2.70),$p$=.68","  0.21(0.66),$p$=.78",trailsb,male,72
eas,trailsb,male,72,education," -6.29(4.34),$p$=.15","  0.17(1.00),$p$=.88",trailsb,male,72
eas,trailsb,male,72,height," -0.65(1.70),$p$=.71","  0.42(0.45),$p$=.37",trailsb,male,72
eas,trailsb,male,72,smoking," -0.57(36.70),$p$=.98"," -2.20(9.20),$p$=.81",trailsb,male,72
eas,trailsb,male,72,cardio," 21.94(28.88),$p$=.45"," -8.71(9.83),$p$=.38",trailsb,male,72
eas,trailsb,male,72,diabetes,"  3.99(21.89),$p$=.85","  3.47(7.24),$p$=.63",trailsb,male,72
eas,waisvocab,female,150,intercept," 34.86(3.23),$p$<.01","  0.29(0.73),$p$=.70",waisvocab,female,150
eas,waisvocab,female,150,age," -0.15(0.28),$p$=.59"," -0.04(0.05),$p$=.34",waisvocab,female,150
eas,waisvocab,female,150,education,"  1.85(0.33),$p$<.01","  0.01(0.07),$p$=.91",waisvocab,female,150
eas,waisvocab,female,150,height," -0.06(0.16),$p$=.72","  0.01(0.03),$p$=.67",waisvocab,female,150
eas,waisvocab,female,150,smoking,"  1.12(1.35),$p$=.40"," -0.02(0.37),$p$=.96",waisvocab,female,150
eas,waisvocab,female,150,cardio,"  3.36(4.01),$p$=.40"," -0.64(1.04),$p$=.53",waisvocab,female,150
eas,waisvocab,female,150,diabetes," -4.82(2.44),$p$=.05"," -0.16(0.51),$p$=.76",waisvocab,female,150
eas,waisvocab,male,72,intercept," 33.97(6.42),$p$<.01","  1.53(2.15),$p$=.48",waisvocab,male,72
eas,waisvocab,male,72,age,"  0.39(0.34),$p$=.26"," -0.09(0.10),$p$=.37",waisvocab,male,72
eas,waisvocab,male,72,education,"  1.57(0.58),$p$=.01"," -0.07(0.19),$p$=.69",waisvocab,male,72
eas,waisvocab,male,72,height,"  0.03(0.28),$p$=.92"," -0.03(0.08),$p$=.74",waisvocab,male,72
eas,waisvocab,male,72,smoking," -1.52(3.76),$p$=.69","  0.11(0.85),$p$=.89",waisvocab,male,72
eas,waisvocab,male,72,cardio," -3.77(6.76),$p$=.58"," -0.11(1.64),$p$=.94",waisvocab,male,72
eas,waisvocab,male,72,diabetes,"  1.33(3.89),$p$=.73"," -0.45(0.93),$p$=.61",waisvocab,male,72
elsa,fev,female,"3,511",intercept,"  1.88(0.02),$p$<.01"," -0.02(0.00),$p$<.01",fev,female,"3,511"
elsa,fev,female,"3,511",age,"--,$p$=  ----","--,$p$=  ----",fev,female,"3,511"
elsa,fev,female,"3,511",education,"  0.10(0.02),$p$<.01","  0.00(0.00),$p$=.65",fev,female,"3,511"
elsa,fev,female,"3,511",height,"  0.03(0.00),$p$<.01","  0.00(0.00),$p$=.03",fev,female,"3,511"
elsa,fev,female,"3,511",smoking," -0.11(0.02),$p$<.01"," -0.00(0.00),$p$=.46",fev,female,"3,511"
elsa,fev,female,"3,511",cardio," -0.11(0.03),$p$<.01","  0.00(0.00),$p$=.50",fev,female,"3,511"
elsa,fev,female,"3,511",diabetes," -0.05(0.04),$p$=.18"," -0.00(0.01),$p$=.53",fev,female,"3,511"
elsa,fev,male,"3,091",intercept,"  2.63(0.03),$p$<.01"," -0.02(0.00),$p$<.01",fev,male,"3,091"
elsa,fev,male,"3,091",age,"--,$p$=  ----","--,$p$=  ----",fev,male,"3,091"
elsa,fev,male,"3,091",education,"  0.20(0.03),$p$<.01"," -0.01(0.00),$p$=.08",fev,male,"3,091"
elsa,fev,male,"3,091",height,"  0.03(0.00),$p$<.01","  0.00(0.00),$p$=.93",fev,male,"3,091"
elsa,fev,male,"3,091",smoking," -0.21(0.03),$p$<.01","  0.00(0.00),$p$=.35",fev,male,"3,091"
elsa,fev,male,"3,091",cardio," -0.20(0.04),$p$<.01","  0.00(0.00),$p$=.57",fev,male,"3,091"
elsa,fev,male,"3,091",diabetes," -0.06(0.05),$p$=.18"," -0.02(0.01),$p$=.01",fev,male,"3,091"
elsa,fev100,female,"3,511",intercept,"188.50(1.68),$p$<.01"," -2.13(0.19),$p$<.01",fev100,female,"3,511"
elsa,fev100,female,"3,511",age,"--,$p$=  ----","--,$p$=  ----",fev100,female,"3,511"
elsa,fev100,female,"3,511",education," 10.17(1.79),$p$<.01","  0.09(0.21),$p$=.65",fev100,female,"3,511"
elsa,fev100,female,"3,511",height,"  2.76(0.15),$p$<.01"," -0.04(0.02),$p$=.03",fev100,female,"3,511"
elsa,fev100,female,"3,511",smoking,"-10.89(1.70),$p$<.01"," -0.15(0.20),$p$=.46",fev100,female,"3,511"
elsa,fev100,female,"3,511",cardio,"-11.18(3.09),$p$<.01","  0.31(0.46),$p$=.50",fev100,female,"3,511"
elsa,fev100,female,"3,511",diabetes," -5.14(3.83),$p$=.18"," -0.35(0.56),$p$=.53",fev100,female,"3,511"
elsa,fev100,male,"3,091",intercept,"262.62(3.21),$p$<.01"," -2.21(0.44),$p$<.01",fev100,male,"3,091"
elsa,fev100,male,"3,091",age,"--,$p$=  ----","--,$p$=  ----",fev100,male,"3,091"
elsa,fev100,male,"3,091",education," 20.33(2.89),$p$<.01"," -0.64(0.36),$p$=.08",fev100,male,"3,091"
elsa,fev100,male,"3,091",height,"  3.34(0.21),$p$<.01"," -0.00(0.02),$p$=.93",fev100,male,"3,091"
elsa,fev100,male,"3,091",smoking,"-21.05(2.83),$p$<.01","  0.32(0.34),$p$=.35",fev100,male,"3,091"
elsa,fev100,male,"3,091",cardio,"-19.51(3.86),$p$<.01","  0.28(0.49),$p$=.57",fev100,male,"3,091"
elsa,fev100,male,"3,091",diabetes," -6.20(4.67),$p$=.18"," -1.60(0.63),$p$=.01",fev100,male,"3,091"
elsa,fluency,female,"3,510",intercept," 17.64(0.18),$p$<.01"," -0.08(0.03),$p$<.01",fluency,female,"3,510"
elsa,fluency,female,"3,510",age,"--,$p$=  ----","--,$p$=  ----",fluency,female,"3,510"
elsa,fluency,female,"3,510",education,"  3.34(0.20),$p$<.01","  0.03(0.03),$p$=.35",fluency,female,"3,510"
elsa,fluency,female,"3,510",height,"  0.10(0.02),$p$<.01"," -0.00(0.00),$p$=.09",fluency,female,"3,510"
elsa,fluency,female,"3,510",smoking," -0.06(0.19),$p$=.74"," -0.04(0.03),$p$=.13",fluency,female,"3,510"
elsa,fluency,female,"3,510",cardio," -0.23(0.35),$p$=.52"," -0.04(0.05),$p$=.35",fluency,female,"3,510"
elsa,fluency,female,"3,510",diabetes," -0.62(0.50),$p$=.22"," -0.14(0.07),$p$=.05",fluency,female,"3,510"
elsa,fluency,male,"3,090",intercept," 18.25(0.26),$p$<.01"," -0.07(0.04),$p$=.06",fluency,male,"3,090"
elsa,fluency,male,"3,090",age,"--,$p$=  ----","--,$p$=  ----",fluency,male,"3,090"
elsa,fluency,male,"3,090",education,"  2.76(0.22),$p$<.01"," -0.04(0.03),$p$=.23",fluency,male,"3,090"
elsa,fluency,male,"3,090",height,"  0.08(0.02),$p$<.01","  0.00(0.00),$p$=.06",fluency,male,"3,090"
elsa,fluency,male,"3,090",smoking," -0.18(0.23),$p$=.45"," -0.04(0.03),$p$=.23",fluency,male,"3,090"
elsa,fluency,male,"3,090",cardio," -0.58(0.30),$p$=.06","  0.04(0.04),$p$=.35",fluency,male,"3,090"
elsa,fluency,male,"3,090",diabetes," -0.12(0.40),$p$=.77"," -0.06(0.06),$p$=.28",fluency,male,"3,090"
elsa,gait,female,"3,510",intercept,"  0.83(0.01),$p$<.01"," -0.01(0.00),$p$<.01",gait,female,"3,510"
elsa,gait,female,"3,510",age,"--,$p$=  ----","--,$p$=  ----",gait,female,"3,510"
elsa,gait,female,"3,510",education,"  0.09(0.01),$p$<.01","  0.00(0.00),$p$=.96",gait,female,"3,510"
elsa,gait,female,"3,510",height,"  0.01(0.00),$p$<.01","  0.00(0.00),$p$=.13",gait,female,"3,510"
elsa,gait,female,"3,510",smoking," -0.03(0.01),$p$<.01","  0.00(0.00),$p$=.92",gait,female,"3,510"
elsa,gait,female,"3,510",cardio," -0.08(0.02),$p$<.01"," -0.00(0.00),$p$=.32",gait,female,"3,510"
elsa,gait,female,"3,510",diabetes," -0.13(0.02),$p$<.01","  0.00(0.00),$p$=.64",gait,female,"3,510"
elsa,gait,male,"3,090",intercept,"  0.86(0.01),$p$<.01"," -0.01(0.00),$p$<.01",gait,male,"3,090"
elsa,gait,male,"3,090",age,"--,$p$=  ----","--,$p$=  ----",gait,male,"3,090"
elsa,gait,male,"3,090",education,"  0.11(0.01),$p$<.01","  0.00(0.00),$p$=.25",gait,male,"3,090"
