domain,study,physical,cognitive,sex,$n$,tau_levels,ab_tau_00_est,ab_tau_00_se,ab_tau_00_pval,tau_slopes,ab_tau_11_est,ab_tau_11_se,ab_tau_11_pval,tau_resid,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_pval
Learning & Memory,elsa,gait,Word List Immediate,Men,1947," .04( .01), $p$<.01 ***",0.045,0.009,0.0," .00( .00), $p$=.58  ",0.0,0.0,0.585,"-.00( .00), $p$=.49  ",-0.002,0.003,0.486
Learning & Memory,hrs,gait,Word List Immediate,Women,370," .04( .01), $p$=.01 *",0.036,0.015,0.014," .00( .00), $p$=.44  ",0.0,0.001,0.443," .00( .01), $p$=.60  ",0.004,0.008,0.596
Learning & Memory,hrs,gait,Word List Immediate,Men,318," .03( .02), $p$=.03 *",0.034,0.016,0.032," .00( .00), $p$=.74  ",0.0,0.001,0.745," .00( .01), $p$=.82  ",0.002,0.009,0.821
Learning & Memory,lasa,gait,Word List Immediate,Women,782,"-1.74( .67), $p$=.01 **",-1.735,0.672,0.01,"-.01( .01), $p$=.21  ",-0.015,0.012,0.209,"-.37( .28), $p$=.19  ",-0.366,0.28,0.191
Learning & Memory,lasa,gait,Word List Immediate,Men,800,"-1.12( .58), $p$=.05 .",-1.121,0.581,0.054," .00( .02), $p$=.85  ",0.004,0.019,0.854,"-.08( .29), $p$=.77  ",-0.085,0.295,0.773
Learning & Memory,map,gait,Word List Immediate,Women,935," .13( .02), $p$<.01 ***",0.128,0.025,0.0," .00( .00), $p$=.05 *",0.004,0.002,0.048,"-.00( .01), $p$=.80  ",-0.002,0.008,0.805
Learning & Memory,map,gait,Word List Immediate,Men,321," .07( .04), $p$=.04 *",0.075,0.036,0.039," .00( .00), $p$=.24  ",0.005,0.004,0.237," .01( .01), $p$=.69  ",0.006,0.015,0.686
Learning & Memory,map,gait,Word Recognition,Women,935," .01( .00), $p$=.08 .",0.009,0.005,0.076," .00( .00), $p$=.97  ",0.0,0.0,0.971," .00( .00), $p$=.87  ",0.0,0.002,0.873
Learning & Memory,map,gait,Word Recognition,Men,321," .01( .01), $p$=.49  ",0.009,0.013,0.495,"-.00( .00), $p$=.65  ",-0.001,0.001,0.652," .00( .00), $p$=.36  ",0.004,0.005,0.362
Mental Status,eas,gait,Calculated MMSE,Women,363,"2.69(2.33), $p$=.25  ",2.686,2.326,0.248," .02( .16), $p$=.92  ",0.016,0.163,0.923,"-.37( .51), $p$=.47  ",-0.37,0.511,0.468
Mental Status,eas,gait,Calculated MMSE,Men,222,"6.09(4.61), $p$=.19  ",6.093,4.609,0.186,"-.06( .30), $p$=.84  ",-0.061,0.298,0.837,"-.25( .95), $p$=.79  ",-0.253,0.951,0.791
Mental Status,map,gait,Ideas,Women,935," .01( .00), $p$=.01 **",0.008,0.003,0.009," .00( .00), $p$=.27  ",0.0,0.0,0.271," .00( .00), $p$=.26  ",0.002,0.001,0.265
Mental Status,map,gait,Ideas,Men,321," .01( .01), $p$=.15  ",0.011,0.007,0.148,"-.00( .00), $p$=.46  ",-0.001,0.001,0.461," .00( .00), $p$=.80  ",0.001,0.003,0.796
Mental Status,map,gait,MMSE,Women,935," .03( .01), $p$<.01 ***",0.031,0.009,0.001," .00( .00), $p$=.37  ",0.001,0.001,0.368," .01( .00), $p$=.01 **",0.012,0.004,0.008
Mental Status,map,gait,MMSE,Men,321," .10( .03), $p$<.01 ***",0.103,0.029,0.0," .00( .00), $p$=.49  ",0.002,0.003,0.49," .01( .01), $p$=.50  ",0.006,0.008,0.503
Mental Status,octo,gait,MMSE,Women,276,"-.90( .55), $p$=.10  ",-0.903,0.553,0.103,"-.08( .17), $p$=.65  ",-0.077,0.171,0.65,"-1.37( .94), $p$=.14  ",-1.374,0.941,0.144
Mental Status,octo,gait,MMSE,Men,137,"-1.16( .67), $p$=.08 .",-1.161,0.672,0.084,"-.01( .06), $p$=.89  ",-0.008,0.06,0.893,"-.68( .30), $p$=.02 *",-0.685,0.3,0.022
Mental Status,octo,gait,MMSE,Women,276,"-1.33( .59), $p$=.02 *",-1.334,0.594,0.025,"-.04( .09), $p$=.66  ",-0.038,0.087,0.658,"-.06( .52), $p$=.91  ",-0.058,0.525,0.913
Mental Status,octo,gait,MMSE,Men,140,"-1.56( .96), $p$=.10  ",-1.56,0.961,0.104,"-.03( .04), $p$=.48  ",-0.03,0.043,0.482,"-.84( .55), $p$=.13  ",-0.843,0.551,0.126
Perceptual Reasoning,eas,gait,Block Design,Women,351,"16.75(14.11), $p$=.23  ",16.749,14.113,0.235," .19( .84), $p$=.82  ",0.19,0.845,0.822,"1.10(2.26), $p$=.62  ",1.103,2.256,0.625
Perceptual Reasoning,eas,gait,Block Design,Men,210,"45.46(19.66), $p$=.02 *",45.457,19.658,0.021," .22(1.21), $p$=.86  ",0.22,1.211,0.856,"-3.20(3.46), $p$=.35  ",-3.196,3.455,0.355
Perceptual Reasoning,ilse,tug,Block Design,Women,225,"-.37(1.33), $p$=.78  ",-0.374,1.329,0.778,"-.00( .01), $p$=.92  ",-0.002,0.015,0.918," .25( .47), $p$=.60  ",0.247,0.466,0.596
Perceptual Reasoning,ilse,tug,Block Design,Men,252,"-1.75(1.14), $p$=.12  ",-1.75,1.139,0.124," .00( .02), $p$=.90  ",0.002,0.016,0.904," .25( .53), $p$=.64  ",0.25,0.528,0.636
Perceptual Reasoning,octo,gait,Block Design,Women,273,"-8.56(3.00), $p$<.01 **",-8.557,2.999,0.004,"-.21( .63), $p$=.74  ",-0.207,0.627,0.741,"-1.66( .66), $p$=.01 *",-1.655,0.664,0.013
Perceptual Reasoning,octo,gait,Block Design,Men,137,"-4.56(1.81), $p$=.01 *",-4.561,1.81,0.012,"-.04( .10), $p$=.69  ",-0.039,0.096,0.688,"-.78( .74), $p$=.29  ",-0.779,0.739,0.292
Perceptual Reasoning,octo,gait,Figure Logic,Women,270,"-4.50(2.83), $p$=.11  ",-4.495,2.832,0.112," .04( .17), $p$=.80  ",0.043,0.172,0.804,"-.52( .65), $p$=.42  ",-0.523,0.651,0.422
Perceptual Reasoning,octo,gait,Figure Logic,Men,135,"-2.32(1.32), $p$=.08 .",-2.317,1.321,0.079," .00( .07), $p$=.99  ",0.001,0.072,0.991,"-.27( .68), $p$=.69  ",-0.271,0.679,0.69
Perceptual Reasoning,ilse,tug,IPSS Spatial Ability,Women,225," .17(1.13), $p$=.88  ",0.17,1.132,0.88,"-.00( .01), $p$=.93  ",-0.001,0.012,0.927,"-.35( .50), $p$=.48  ",-0.349,0.499,0.484
Perceptual Reasoning,ilse,tug,IPSS Spatial Ability,Men,252,"-1.18( .78), $p$=.13  ",-1.177,0.782,0.132,"-.00( .01), $p$=.85  ",-0.002,0.013,0.853," .18( .39), $p$=.64  ",0.182,0.393,0.643
Perceptual Reasoning,map,gait,Line Orientation,Women,935," .08( .02), $p$<.01 ***",0.078,0.018,0.0," .00( .00), $p$=.89  ",0.0,0.002,0.894," .00( .01), $p$=.54  ",0.004,0.006,0.544
Perceptual Reasoning,map,gait,Line Orientation,Men,321," .04( .02), $p$=.10 .",0.042,0.025,0.095,"-.00( .00), $p$=.22  ",-0.003,0.003,0.218," .02( .01), $p$=.06 .",0.02,0.011,0.06
Perceptual Reasoning,ilse,tug,Picture Comletion,Women,225," .27( .84), $p$=.75  ",0.27,0.845,0.75," .00( .01), $p$=.90  ",0.001,0.009,0.902,"-.10( .31), $p$=.74  ",-0.103,0.311,0.742
Perceptual Reasoning,ilse,tug,Picture Comletion,Men,252,"-.32( .47), $p$=.50  ",-0.32,0.473,0.499," .00( .01), $p$=.98  ",0.0,0.008,0.976,"-.07( .28), $p$=.79  ",-0.074,0.28,0.791
Perceptual Reasoning,lasa,gait,Progressive Matrices,Women,782,"-.95( .42), $p$=.02 *",-0.954,0.425,0.025,"-.02( .01), $p$=.02 *",-0.02,0.008,0.017," .25( .28), $p$=.37  ",0.254,0.284,0.371
Perceptual Reasoning,lasa,gait,Progressive Matrices,Men,800,"-.70( .37), $p$=.06 .",-0.702,0.367,0.056,"-.01( .01), $p$=.07 .",-0.013,0.007,0.067," .15( .16), $p$=.36  ",0.149,0.163,0.361
Perceptual Reasoning,map,gait,Progressive Matrices,Women,935," .06( .01), $p$<.01 ***",0.061,0.015,0.0," .00( .00), $p$=.97  ",0.0,0.002,0.968," .00( .01), $p$=.83  ",0.002,0.007,0.826
Perceptual Reasoning,map,gait,Progressive Matrices,Men,321," .09( .03), $p$<.01 **",0.088,0.03,0.003," .00( .00), $p$=.36  ",0.003,0.004,0.36," .03( .01), $p$=.01 **",0.028,0.011,0.008
Processing Speed,lasa,gait,Coding,Women,782,"-2.62( .98), $p$=.01 **",-2.622,0.98,0.007,"-.02( .01), $p$=.09 .",-0.019,0.011,0.088,"-.47( .20), $p$=.02 *",-0.472,0.203,0.02
Processing Speed,lasa,gait,Coding,Men,800,"-1.88( .56), $p$<.01 ***",-1.882,0.558,0.001,"-.04( .01), $p$=.02 *",-0.035,0.015,0.016,"-.22( .28), $p$=.43  ",-0.221,0.278,0.427
Processing Speed,map,gait,Number Comparison,Women,935," .10( .04), $p$=.03 *",0.095,0.043,0.028," .00( .00), $p$=.22  ",0.004,0.003,0.217," .03( .01), $p$=.02 *",0.029,0.013,0.025
Processing Speed,map,gait,Number Comparison,Men,321," .17( .06), $p$=.01 **",0.173,0.063,0.006,"-.00( .00), $p$=.28  ",-0.005,0.005,0.282," .04( .02), $p$=.06 .",0.04,0.021,0.058
Processing Speed,octo,gait,Perceptual Speed,Women,262,"-2.18(2.45), $p$=.38  ",-2.177,2.454,0.375,"-.25( .77), $p$=.74  ",-0.254,0.772,0.742,"-.65( .56), $p$=.25  ",-0.648,0.56,0.247
Processing Speed,octo,gait,Perceptual Speed,Men,131,"-1.62(1.48), $p$=.27  ",-1.617,1.478,0.274,"-.08( .13), $p$=.53  ",-0.081,0.129,0.527," .12( .51), $p$=.82  ",0.116,0.514,0.821
Processing Speed,eas,gait,Symbol,Women,363,"46.98(24.64), $p$=.06 .",46.977,24.645,0.057,"2.53( .99), $p$=.01 **",2.528,0.987,0.01," .16(2.92), $p$=.95  ",0.165,2.915,0.955
Processing Speed,eas,gait,Symbol,Men,221,"68.90(26.04), $p$=.01 **",68.903,26.043,0.008,"1.59(1.33), $p$=.23  ",1.589,1.331,0.233,"-.48(4.28), $p$=.91  ",-0.479,4.282,0.911
Processing Speed,ilse,tug,Symbol,Women,225,"-1.45(2.00), $p$=.47  ",-1.447,2.005,0.471,"-.00( .02), $p$=.96  ",-0.001,0.019,0.956," .10( .58), $p$=.86  ",0.104,0.582,0.859
Processing Speed,ilse,tug,Symbol,Men,252,"-2.28(1.38), $p$=.10 .",-2.282,1.382,0.099,"-.01( .02), $p$=.68  ",-0.008,0.019,0.683,"-.49( .46), $p$=.28  ",-0.49,0.455,0.281
Processing Speed,map,gait,Symbol,Women,935," .27( .06), $p$<.01 ***",0.27,0.056,0.0," .00( .00), $p$=.59  ",0.002,0.004,0.591," .04( .02), $p$=.03 *",0.039,0.018,0.026
Processing Speed,map,gait,Symbol,Men,321," .53( .09), $p$<.01 ***",0.528,0.094,0.0,"-.01( .01), $p$=.35  ",-0.006,0.006,0.353," .06( .03), $p$=.06 .",0.057,0.03,0.06
Processing Speed,octo,gait,Symbol,Women,266,"-10.73(5.36), $p$=.04 *",-10.73,5.357,0.045,"-.27( .65), $p$=.68  ",-0.267,0.647,0.68,"-2.12(1.52), $p$=.16  ",-2.118,1.518,0.163
Processing Speed,octo,gait,Symbol,Men,134,"-7.59(2.82), $p$=.01 **",-7.591,2.819,0.007," .00( .11), $p$=.99  ",0.001,0.114,0.996,"-2.51(1.15), $p$=.03 *",-2.512,1.15,0.029
Verbal Ability,eas,gait,Boston Naming Test,Women,363,"-.88(4.93), $p$=.86  ",-0.879,4.926,0.858," .01( .32), $p$=.98  ",0.007,0.318,0.982," .49( .92), $p$=.59  ",0.492,0.917,0.592
Verbal Ability,eas,gait,Boston Naming Test,Men,222,"6.14(6.14), $p$=.32  ",6.143,6.141,0.317,"-.00( .42), $p$=.99  ",-0.005,0.418,0.991," .29( .95), $p$=.76  ",0.289,0.947,0.76
Verbal Ability,map,gait,Boston Naming Test,Women,935," .02( .01), $p$<.01 ***",0.025,0.007,0.0," .00( .00), $p$=.10 .",0.001,0.001,0.1,"-.00( .00), $p$=.69  ",-0.001,0.002,0.691
Verbal Ability,map,gait,Boston Naming Test,Men,321," .04( .02), $p$=.01 **",0.044,0.017,0.008,"-.00( .00), $p$=.31  ",-0.001,0.001,0.309,"-.00( .00), $p$=.48  ",-0.003,0.004,0.48
Verbal Ability,eas,gait,Categories,Women,363,"11.43(13.72), $p$=.40  ",11.432,13.718,0.405," .67( .92), $p$=.46  ",0.674,0.92,0.464," .43(2.70), $p$=.87  ",0.429,2.704,0.874
Verbal Ability,eas,gait,Categories,Men,222,"44.15(25.45), $p$=.08 .",44.148,25.448,0.083,"1.74(1.19), $p$=.14  ",1.74,1.192,0.144," .06(3.21), $p$=.98  ",0.065,3.206,0.984
Verbal Ability,map,gait,Categories,Women,935," .18( .05), $p$<.01 ***",0.183,0.049,0.0," .01( .00), $p$=.02 *",0.01,0.004,0.021,"-.01( .02), $p$=.32  ",-0.015,0.016,0.324
Verbal Ability,map,gait,Categories,Men,321," .39( .09), $p$<.01 ***",0.386,0.089,0.0," .02( .01), $p$=.04 *",0.016,0.008,0.036," .02( .03), $p$=.38  ",0.023,0.026,0.376
Verbal Ability,eas,gait,FAS,Women,361,"67.83(23.06), $p$<.01 **",67.831,23.064,0.003,"2.08(1.10), $p$=.06 .",2.084,1.102,0.059,"-.79(3.33), $p$=.81  ",-0.793,3.333,0.812
Verbal Ability,eas,gait,FAS,Men,222,"26.13(28.93), $p$=.37  ",26.133,28.929,0.366," .81(1.55), $p$=.60  ",0.814,1.549,0.599," .86(4.62), $p$=.85  ",0.865,4.615,0.851
Verbal Ability,elsa,gait,Fluency,Women,2226," .16( .03), $p$<.01 ***",0.158,0.029,0.0," .00( .00), $p$=.20  ",0.001,0.001,0.198," .02( .01), $p$=.09 .",0.019,0.011,0.093
Verbal Ability,elsa,gait,Fluency,Men,1947," .20( .03), $p$<.01 ***",0.199,0.034,0.0," .00( .00), $p$=.28  ",0.001,0.001,0.276,"-.01( .01), $p$=.34  ",-0.011,0.012,0.345
Verbal Ability,ilse,tug,Fluency,Women,225," .11(1.56), $p$=.94  ",0.112,1.564,0.943," .00( .02), $p$=.80  ",0.004,0.017,0.795,"-.66( .70), $p$=.34  ",-0.664,0.7,0.343
Verbal Ability,ilse,tug,Information,Women,225," .16( .82), $p$=.85  ",0.157,0.816,0.848," .00( .01), $p$=.95  ",0.0,0.006,0.949,"-.07( .24), $p$=.76  ",-0.071,0.238,0.764
Verbal Ability,ilse,tug,Information,Men,252,"-.41( .47), $p$=.38  ",-0.412,0.467,0.378,"-.00( .01), $p$=.80  ",-0.001,0.006,0.797,"-.20( .19), $p$=.29  ",-0.203,0.194,0.295
Verbal Ability,octo,gait,Information,Women,275,"-3.15(2.80), $p$=.26  ",-3.15,2.799,0.26," .02( .04), $p$=.61  ",0.022,0.043,0.609,"-.72( .51), $p$=.15  ",-0.725,0.508,0.154
Verbal Ability,octo,gait,Information,Men,140,"-2.86(1.95), $p$=.14  ",-2.856,1.947,0.142,"-.02( .10), $p$=.83  ",-0.021,0.099,0.83,"-.90( .81), $p$=.27  ",-0.897,0.807,0.267
Verbal Ability,map,gait,NART,Women,933," .02( .01), $p$=.05 *",0.023,0.012,0.05," .00( .00), $p$=.65  ",0.0,0.001,0.647," .01( .00), $p$<.01 **",0.009,0.003,0.003
Verbal Ability,map,gait,NART,Men,321," .05( .02), $p$=.03 *",0.049,0.022,0.027," .00( .00), $p$=.56  ",0.001,0.001,0.565," .00( .00), $p$=.70  ",0.002,0.005,0.696
Verbal Ability,octo,gait,Synonyms,Women,268,"-1.40(2.17), $p$=.52  ",-1.397,2.173,0.52,"-.22( .53), $p$=.68  ",-0.221,0.529,0.676,"-1.22( .69), $p$=.08 .",-1.217,0.686,0.076
Verbal Ability,octo,gait,Synonyms,Men,134,"-.87(1.52), $p$=.57  ",-0.869,1.517,0.567,"-.02( .06), $p$=.65  ",-0.025,0.056,0.651,"-.38( .49), $p$=.44  ",-0.382,0.494,0.44
Verbal Ability,eas,gait,Vocabulary,Women,363,"51.98(22.89), $p$=.02 *",51.981,22.895,0.023,"1.53(1.26), $p$=.22  ",1.527,1.256,0.224,"-.85(3.63), $p$=.81  ",-0.852,3.631,0.815
Verbal Ability,eas,gait,Vocabulary,Men,222,"6.94(29.02), $p$=.81  ",6.943,29.021,0.811,"-.34(1.69), $p$=.84  ",-0.344,1.692,0.839,"-3.81(6.28), $p$=.54  ",-3.812,6.283,0.544
