domain,study,model_number,subgroup,model_type,physical,cognitive,$n$,Cov(Levels),Corr(Levels)Est,CI(Levels)Est,Corr(Levels)Comp,Cov(Slopes),Corr(Slopes)Est,CI(Slopes)Est,Corr(Slopes)Comp,Cov(Residuals),Corr(Residuals)Est,CI(Residuals)Est,Corr(Residuals)Comp
Attention & Working Memory,eas,b1,female,aehplus,gait,Digit Span Total,363,"12.35(6.17), $p$=.04 *"," .24( .11), $p$=.03 *","( .02, .46)"," .24( .14, .34)"," .62( .35), $p$=.08 ."," .74( .40), $p$=.06 .","(-.05,1.52)"," .74( .69, .78)","-.24( .88), $p$=.79  ","-.02( .07), $p$=.79  ","(-.15, .12)","-.02(-.12, .08)"
Attention & Working Memory,eas,b1,male,aehplus,gait,Digit Span Total,222,"9.48(9.98), $p$=.34  "," .17( .17), $p$=.33  ","(-.17, .50)"," .17( .04, .29)"," .18( .40), $p$=.66  "," .39(1.04), $p$=.71  ","(-1.65,2.44)"," .39( .28, .50)","-.86(1.49), $p$=.56  ","-.06( .10), $p$=.56  ","(-.24, .13)","-.06(-.19, .08)"
Attention & Working Memory,hrs,b1,female,aehplus,gait,Serial 7s,370," .02( .02), $p$=.20  ",---,---," .12( .02, .22)"," .00( .00), $p$=.60  ",---,---,---," .01( .01), $p$=.18  ",---,---," .07(-.03, .17)"
Attention & Working Memory,hrs,b1,male,aehplus,gait,Serial 7s,318," .05( .02), $p$<.01 **",---,---," .31( .21, .41)"," .00( .00), $p$=.01 **",---,---," .48( .39, .56)"," .00( .01), $p$=.98  ",---,---," .00(-.11, .11)"
Attention & Working Memory,eas,b1,female,aehplus,gait,Trials B,362,"-4.86(107.76), $p$=.96  ","-.01( .12), $p$=.96  ","(-.25, .24)","-.01(-.11, .10)","3.36(6.59), $p$=.61  "," .18( .36), $p$=.61  ","(-.53, .90)"," .18( .08, .28)","-4.35(25.36), $p$=.86  ","-.01( .08), $p$=.86  ","(-.16, .14)","-.01(-.12, .09)"
Attention & Working Memory,eas,b1,male,aehplus,gait,Trials B,221,"-225.90(171.18), $p$=.19  ","-.27( .20), $p$=.18  ","(-.66, .12)","-.27(-.39,-.14)","-7.09(13.23), $p$=.59  ","-.67(1.44), $p$=.64  ","(-3.49,2.15)","-.67(-.73,-.59)","57.56(34.95), $p$=.10 ."," .17( .10), $p$=.10 .","(-.03, .37)"," .17( .04, .30)"
Learning & Memory,map,b1,female,aehplus,gait,Boston Story Delayed,935," .00( .01), $p$=.80  "," .02( .07), $p$=.80  ","(-.12, .16)"," .02(-.05, .08)"," .00( .00), $p$=.64  "," .11( .23), $p$=.64  ","(-.35, .57)"," .12( .05, .18)"," .01( .00), $p$=.11  "," .04( .02), $p$=.11  ","(-.01, .09)"," .04(-.03, .10)"
Learning & Memory,map,b1,male,aehplus,gait,Boston Story Delayed,321," .07( .02), $p$<.01 **"," .39( .12), $p$<.01 ***","( .15, .63)"," .39( .29, .48)"," .00( .00), $p$=.41  "," .67(1.71), $p$=.70  ","(-2.69,4.03)"," .52( .43, .59)","-.01( .01), $p$=.14  ","-.05( .04), $p$=.13  ","(-.12, .02)","-.06(-.16, .05)"
Learning & Memory,map,b1,female,aehplus,gait,Boston Story Immediate,935," .01( .01), $p$=.30  "," .07( .07), $p$=.29  ","(-.06, .21)"," .08( .01, .14)"," .00( .00), $p$=.28  "," .28( .26), $p$=.28  ","(-.23, .80)"," .16( .09, .22)"," .01( .00), $p$=.16  "," .04( .03), $p$=.16  ","(-.02, .09)"," .04(-.03, .10)"
Learning & Memory,map,b1,male,aehplus,gait,Boston Story Immediate,321," .05( .02), $p$<.01 **"," .36( .12), $p$<.01 **","( .12, .60)"," .36( .26, .45)"," .00( .00), $p$=.23  "," .73( .94), $p$=.44  ","(-1.12,2.58)"," .65( .59, .71)","-.01( .01), $p$=.06 .","-.07( .04), $p$=.06 .","(-.14, .00)","-.07(-.18, .04)"
Learning & Memory,map,b1,female,aehplus,gait,Logical Memory Delayed,935," .05( .02), $p$=.05 *"," .10( .05), $p$=.04 *","( .00, .20)"," .10( .04, .17)"," .00( .00), $p$=.03 *"," .40( .17), $p$=.02 *","( .07, .73)"," .29( .23, .35)"," .00( .01), $p$=.92  "," .00( .02), $p$=.92  ","(-.04, .05)"," .00(-.06, .07)"
Learning & Memory,map,b1,male,aehplus,gait,Logical Memory Delayed,321," .11( .04), $p$=.01 **"," .24( .09), $p$=.01 **","( .06, .42)"," .24( .14, .34)"," .01( .00), $p$=.11  "," .50( .35), $p$=.15  ","(-.19,1.18)"," .35( .25, .44)","-.01( .01), $p$=.62  ","-.02( .04), $p$=.62  ","(-.10, .06)","-.02(-.13, .09)"
Learning & Memory,map,b1,female,aehplus,gait,Logical Memory Immediate,935," .05( .02), $p$=.04 *"," .11( .05), $p$=.04 *","( .01, .20)"," .11( .04, .17)"," .00( .00), $p$=.02 *"," .43( .17), $p$=.01 *","( .10, .77)"," .33( .27, .38)"," .01( .01), $p$=.07 ."," .04( .02), $p$=.06 .","(-.00, .09)"," .04(-.02, .11)"
Learning & Memory,map,b1,male,aehplus,gait,Logical Memory Immediate,321," .08( .04), $p$=.04 *"," .22( .11), $p$=.04 *","( .00, .43)"," .22( .11, .32)"," .00( .00), $p$=.36  "," .78(1.12), $p$=.49  ","(-1.42,2.97)"," .63( .56, .69)","-.01( .01), $p$=.68  ","-.02( .04), $p$=.68  ","(-.10, .06)","-.02(-.13, .09)"
Learning & Memory,eas,b1,female,aehplus,gait,Logical Memory Total,360,"3.86(11.15), $p$=.73  "," .04( .12), $p$=.73  ","(-.20, .28)"," .04(-.06, .15)"," .74( .88), $p$=.40  "," .54( .75), $p$=.47  ","(-.93,2.01)"," .54( .46, .61)"," .35(2.31), $p$=.88  "," .01( .07), $p$=.88  ","(-.13, .16)"," .01(-.09, .11)"
Learning & Memory,eas,b1,male,aehplus,gait,Logical Memory Total,218,"20.53(18.13), $p$=.26  "," .21( .19), $p$=.26  ","(-.15, .58)"," .21( .08, .34)"," .10( .82), $p$=.90  "," .09( .76), $p$=.90  ","(-1.39,1.58)"," .09(-.04, .22)","-.92(3.23), $p$=.78  ","-.03( .10), $p$=.77  ","(-.22, .16)","-.03(-.16, .11)"
Learning & Memory,octo,b1,female,aehplus,gait,Objects Recalled,272,"-1.11( .47), $p$=.02 *","-.21( .08), $p$=.01 *","(-.37,-.04)","-.21(-.32,-.09)"," .00( .05), $p$=.97  "," .01( .16), $p$=.97  ","(-.31, .32)"," .01(-.11, .13)","-.55( .23), $p$=.02 *","-.12( .05), $p$=.03 *","(-.23,-.01)","-.12(-.24,-.00)"
Learning & Memory,octo,b1,male,aehplus,gait,Objects Recalled,137,"-1.70( .60), $p$<.01 **","-.57( .16), $p$<.01 ***","(-.89,-.26)","-.58(-.68,-.45)","-.01( .04), $p$=.70  ","-.18( .47), $p$=.70  ","(-1.09, .74)","-.17(-.33,-.01)","-.18( .30), $p$=.54  ","-.05( .08), $p$=.54  ","(-.22, .11)","-.05(-.22, .12)"
Learning & Memory,octo,b1,female,aehplus,gait,Objects Recognized,272,"-.15( .17), $p$=.35  ","-.07( .08), $p$=.38  ","(-.23, .09)","-.07(-.19, .05)"," .00( .01), $p$=.98  "," .00( .14), $p$=.98  ","(-.28, .28)"," .00(-.12, .12)","-.03( .09), $p$=.74  ","-.02( .05), $p$=.74  ","(-.11, .08)","-.02(-.13, .10)"
Learning & Memory,octo,b1,male,aehplus,gait,Objects Recognized,137,"-.58( .63), $p$=.35  ","-.35( .29), $p$=.21  ","(-.91, .21)","-.35(-.49,-.20)","-.01( .02), $p$=.69  ","-.34( .64), $p$=.59  ","(-1.59, .91)","-.36(-.49,-.20)","-.31( .18), $p$=.08 .","-.11( .06), $p$=.05 .","(-.23, .00)","-.11(-.27, .06)"
Learning & Memory,octo,b1,female,aehplus,gait,Prose Immediate,269,"-1.31(1.09), $p$=.23  ","-.14( .12), $p$=.26  ","(-.37, .10)","-.14(-.25,-.02)","-.08( .10), $p$=.44  ","-.23( .08), $p$<.01 **","(-.38,-.08)","-.23(-.34,-.11)","-.40( .26), $p$=.13  ","-.06( .04), $p$=.13  ","(-.14, .02)","-.06(-.18, .06)"
Learning & Memory,octo,b1,male,aehplus,gait,Prose Immediate,139,"-2.36(1.41), $p$=.09 .","-.36( .21), $p$=.09 .","(-.78, .06)","-.36(-.50,-.21)","-.00( .14), $p$=.99  ","-.05(3.62), $p$=.99  ","(-7.16,7.05)","-.05(-.22, .12)"," .57( .78), $p$=.47  "," .11( .15), $p$=.45  ","(-.18, .41)"," .11(-.05, .27)"
Learning & Memory,elsa,b1,female,aehplus,gait,Word List Delayed,2226," .05( .01), $p$<.01 ***"," .20( .04), $p$<.01 ***","( .12, .27)"," .20( .16, .24)"," .00( .00), $p$=.38  "," .15( .17), $p$=.38  ","(-.19, .49)",---,"-.00( .00), $p$=.63  ","-.01( .02), $p$=.63  ","(-.05, .03)","-.01(-.05, .03)"
Learning & Memory,elsa,b1,male,aehplus,gait,Word List Delayed,1947," .06( .01), $p$<.01 ***"," .23( .04), $p$<.01 ***","( .15, .31)"," .23( .18, .27)"," .00( .00), $p$=.49  ","-.18( .28), $p$=.52  ","(-.74, .37)",---," .01( .00), $p$=.04 *"," .04( .02), $p$=.04 *","( .00, .08)"," .04(-.00, .09)"
Learning & Memory,hrs,b1,female,aehplus,gait,Word List Delayed,370," .03( .02), $p$=.17  ",---,---," .15( .05, .25)"," .00( .00), $p$=.53  ",---,---,---," .01( .01), $p$=.15  ",---,---," .07(-.03, .17)"
Learning & Memory,hrs,b1,male,aehplus,gait,Word List Delayed,318," .01( .02), $p$=.65  ",---,---," .05(-.06, .16)"," .00( .00), $p$=.96  ",---,---," .00(-.11, .11)"," .00( .01), $p$=.60  ",---,---," .02(-.09, .13)"
Learning & Memory,map,b1,female,aehplus,gait,Word List Delayed,935," .05( .01), $p$<.01 ***"," .19( .05), $p$<.01 ***","( .09, .29)"," .20( .13, .26)"," .00( .00), $p$<.01 **"," .73( .25), $p$<.01 **","( .24,1.21)"," .47( .42, .52)","-.00( .00), $p$=.46  ","-.02( .02), $p$=.46  ","(-.06, .03)","-.02(-.08, .05)"
Learning & Memory,map,b1,male,aehplus,gait,Word List Delayed,321," .06( .02), $p$<.01 **"," .29( .08), $p$<.01 ***","( .13, .46)"," .29( .19, .39)"," .00( .00), $p$=.13  "," .74( .50), $p$=.14  ","(-.24,1.73)"," .64( .57, .70)","-.00( .01), $p$=.65  ","-.02( .04), $p$=.65  ","(-.10, .06)","-.02(-.13, .09)"
Learning & Memory,eas,b1,female,aehplus,gait,Word List Immediate,363,"11.87(11.82), $p$=.32  "," .15( .16), $p$=.32  ","(-.15, .46)"," .15( .05, .25)"," .29( .82), $p$=.73  "," .26( .76), $p$=.73  ","(-1.23,1.75)"," .26( .16, .36)","1.28(2.26), $p$=.57  "," .04( .08), $p$=.57  ","(-.11, .20)"," .04(-.06, .15)"
Learning & Memory,eas,b1,male,aehplus,gait,Word List Immediate,222,"11.33(13.26), $p$=.39  "," .17( .20), $p$=.39  ","(-.22, .57)"," .17( .04, .30)"," .09( .88), $p$=.92  "," .13(1.20), $p$=.92  ","(-2.22,2.48)"," .13(-.00, .25)","2.95(2.69), $p$=.27  "," .09( .08), $p$=.26  ","(-.07, .25)"," .09(-.04, .22)"
Learning & Memory,elsa,b1,female,aehplus,gait,Word List Immediate,2225," .04( .01), $p$<.01 ***"," .20( .05), $p$<.01 ***","( .11, .29)"," .20( .16, .24)"," .00( .00), $p$=.23  "," .25( .20), $p$=.21  ","(-.14, .65)",---," .01( .00), $p$=.09 ."," .03( .02), $p$=.09 .","(-.01, .07)"," .03(-.01, .07)"
Learning & Memory,elsa,b1,male,aehplus,gait,Word List Immediate,1947," .04( .01), $p$<.01 ***"," .22( .05), $p$<.01 ***","( .13, .32)"," .23( .18, .27)"," .00( .00), $p$=.58  ","-.11( .20), $p$=.59  ","(-.49, .28)",---,"-.00( .00), $p$=.49  ","-.01( .02), $p$=.48  ","(-.06, .03)","-.01(-.06, .03)"
Learning & Memory,hrs,b1,female,aehplus,gait,Word List Immediate,370," .04( .01), $p$=.01 *",---,---," .26( .16, .35)"," .00( .00), $p$=.44  ",---,---,---," .00( .01), $p$=.60  ",---,---," .02(-.08, .12)"
Learning & Memory,hrs,b1,male,aehplus,gait,Word List Immediate,318," .03( .02), $p$=.03 *",---,---," .27( .17, .37)"," .00( .00), $p$=.74  ",---,---," .00(-.11, .11)"," .00( .01), $p$=.82  ",---,---," .01(-.10, .12)"
Learning & Memory,lasa,b1,female,aehplus,gait,Word List Immediate,782,"-1.74( .67), $p$=.01 **","-.31( .18), $p$=.08 .","(-.67, .04)","-.31(-.37,-.25)","-.01( .01), $p$=.21  ","-.28( .19), $p$=.13  ","(-.65, .09)","-.28(-.34,-.22)","-.37( .28), $p$=.19  ","-.02( .02), $p$=.21  ","(-.06, .01)","-.02(-.09, .05)"
Learning & Memory,lasa,b1,male,aehplus,gait,Word List Immediate,800,"-1.12( .58), $p$=.05 .","-.27( .20), $p$=.17  ","(-.65, .11)","-.27(-.33,-.20)"," .00( .02), $p$=.85  "," .10( .49), $p$=.85  ","(-.87,1.06)"," .11( .04, .17)","-.08( .29), $p$=.77  ","-.01( .03), $p$=.77  ","(-.06, .04)","-.01(-.08, .06)"
Learning & Memory,map,b1,female,aehplus,gait,Word List Immediate,935," .13( .02), $p$<.01 ***"," .28( .05), $p$<.01 ***","( .18, .38)"," .28( .22, .34)"," .00( .00), $p$=.05 *"," .34( .17), $p$=.04 *","( .01, .68)"," .23( .17, .29)","-.00( .01), $p$=.80  ","-.01( .02), $p$=.80  ","(-.05, .04)","-.01(-.07, .06)"
Learning & Memory,map,b1,male,aehplus,gait,Word List Immediate,321," .07( .04), $p$=.04 *"," .22( .10), $p$=.03 *","( .02, .41)"," .21( .11, .32)"," .00( .00), $p$=.24  "," .62( .54), $p$=.25  ","(-.44,1.68)"," .48( .39, .56)"," .01( .01), $p$=.69  "," .02( .04), $p$=.68  ","(-.07, .10)"," .02(-.09, .13)"
Learning & Memory,map,b1,female,aehplus,gait,Word Recognition,935," .01( .00), $p$=.08 ."," .09( .05), $p$=.09 .","(-.01, .19)"," .09( .03, .15)"," .00( .00), $p$=.97  ","-.02( .57), $p$=.97  ","(-1.15,1.10)"," .00(-.06, .06)"," .00( .00), $p$=.87  ","-.00( .03), $p$=.87  ","(-.06, .05)"," .00(-.06, .06)"
Learning & Memory,map,b1,male,aehplus,gait,Word Recognition,321," .01( .01), $p$=.49  "," .07( .10), $p$=.49  ","(-.13, .27)"," .07(-.04, .18)","-.00( .00), $p$=.65  ","-.15( .35), $p$=.67  ","(-.83, .53)","-.18(-.29,-.07)"," .00( .00), $p$=.36  "," .04( .05), $p$=.37  ","(-.05, .14)"," .04(-.07, .15)"
Mental Status,eas,b1,female,aehplus,gait,Calculated MMSE,363,"2.69(2.33), $p$=.25  "," .14( .12), $p$=.25  ","(-.10, .38)"," .14( .04, .24)"," .02( .16), $p$=.92  "," .08( .79), $p$=.92  ","(-1.48,1.63)"," .08(-.02, .18)","-.37( .51), $p$=.47  ","-.05( .07), $p$=.47  ","(-.19, .09)","-.05(-.15, .05)"
Mental Status,eas,b1,male,aehplus,gait,Calculated MMSE,222,"6.09(4.61), $p$=.19  "," .34( .25), $p$=.17  ","(-.15, .84)"," .34( .22, .46)","-.06( .30), $p$=.84  ","-.50(2.74), $p$=.85  ","(-5.87,4.87)","-.52(-.61,-.41)","-.25( .95), $p$=.79  ","-.03( .11), $p$=.79  ","(-.24, .18)","-.03(-.16, .10)"
Mental Status,map,b1,female,aehplus,gait,Ideas,935," .01( .00), $p$=.01 **"," .16( .06), $p$=.01 **","( .04, .28)"," .15( .09, .22)"," .00( .00), $p$=.27  "," .22( .20), $p$=.27  ","(-.17, .62)"," .00(-.06, .06)"," .00( .00), $p$=.26  "," .03( .02), $p$=.26  ","(-.02, .07)"," .03(-.03, .10)"
Mental Status,map,b1,male,aehplus,gait,Ideas,321," .01( .01), $p$=.15  "," .18( .08), $p$=.03 *","( .02, .34)"," .18( .08, .29)","-.00( .00), $p$=.46  ","-.18( .23), $p$=.44  ","(-.62, .27)","-.20(-.30,-.09)"," .00( .00), $p$=.80  "," .01( .05), $p$=.79  ","(-.08, .10)"," .02(-.09, .13)"
Mental Status,map,b1,female,aehplus,gait,MMSE,935," .03( .01), $p$<.01 ***"," .22( .06), $p$<.01 ***","( .10, .35)"," .23( .17, .29)"," .00( .00), $p$=.37  "," .19( .20), $p$=.36  ","(-.22, .59)"," .13( .07, .19)"," .01( .00), $p$=.01 **"," .07( .03), $p$=.01 **","( .02, .12)"," .07( .01, .14)"
Mental Status,map,b1,male,aehplus,gait,MMSE,321," .10( .03), $p$<.01 ***"," .48( .10), $p$<.01 ***","( .29, .67)"," .49( .40, .57)"," .00( .00), $p$=.49  "," .29( .46), $p$=.53  ","(-.62,1.20)"," .22( .11, .32)"," .01( .01), $p$=.50  "," .03( .04), $p$=.50  ","(-.05, .11)"," .03(-.08, .14)"
Mental Status,octo,b1,female,aehplus,gait,MMSE,276,"-.90( .55), $p$=.10  ","-.19( .14), $p$=.16  ","(-.46, .07)","-.19(-.30,-.07)","-.08( .17), $p$=.65  ","-.25( .24), $p$=.29  ","(-.71, .22)","-.25(-.35,-.13)","-1.37( .94), $p$=.14  ","-.26( .15), $p$=.07 .","(-.55, .03)","-.26(-.37,-.15)"
Mental Status,octo,b1,male,aehplus,gait,MMSE,137,"-1.16( .67), $p$=.08 .","-.41( .25), $p$=.10 .","(-.90, .08)","-.41(-.54,-.26)","-.01( .06), $p$=.89  ","-.15(1.26), $p$=.91  ","(-2.62,2.33)","-.15(-.31, .02)","-.68( .30), $p$=.02 *","-.16( .06), $p$=.01 **","(-.29,-.04)","-.17(-.32, .00)"
Mental Status,octo,b1,female,aehplus,gait,MMSE,276,"-1.33( .59), $p$=.02 *","-.27( .11), $p$=.01 *","(-.47,-.06)","-.27(-.37,-.15)","-.04( .09), $p$=.66  ","-.07( .23), $p$=.77  ","(-.52, .38)","-.07(-.18, .05)","-.06( .52), $p$=.91  ","-.01( .07), $p$=.91  ","(-.15, .14)","-.01(-.13, .11)"
Mental Status,octo,b1,male,aehplus,gait,MMSE,140,"-1.56( .96), $p$=.10  ","-.48( .30), $p$=.11  ","(-1.07, .11)","-.48(-.60,-.34)","-.03( .04), $p$=.48  ","-.42( .61), $p$=.49  ","(-1.63, .79)","-.42(-.55,-.27)","-.84( .55), $p$=.13  ","-.12( .08), $p$=.12  ","(-.28, .03)","-.12(-.28, .04)"
Perceptual Reasoning,eas,b1,female,aehplus,gait,Block Design,351,"16.75(14.11), $p$=.23  "," .13( .10), $p$=.22  ","(-.08, .33)"," .13( .02, .23)"," .19( .84), $p$=.82  "," .08( .36), $p$=.82  ","(-.63, .80)"," .08(-.02, .19)","1.10(2.26), $p$=.62  "," .03( .06), $p$=.62  ","(-.09, .15)"," .03(-.07, .14)"
Perceptual Reasoning,eas,b1,male,aehplus,gait,Block Design,210,"45.46(19.66), $p$=.02 *"," .33( .15), $p$=.02 *","( .04, .62)"," .33( .20, .44)"," .22(1.21), $p$=.86  "," .31(1.70), $p$=.85  ","(-3.01,3.64)"," .31( .19, .43)","-3.20(3.46), $p$=.35  ","-.08( .08), $p$=.34  ","(-.24, .08)","-.08(-.21, .06)"
Perceptual Reasoning,ilse,b1,female,aehplus,tug,Block Design,225,"-.37(1.33), $p$=.78  ",---,---,"-.05(-.18, .08)","-.00( .01), $p$=.92  ",---,---,"-.15(-.27,-.02)"," .25( .47), $p$=.60  ",---,---," .05(-.08, .18)"
Perceptual Reasoning,ilse,b1,male,aehplus,tug,Block Design,252,"-1.75(1.14), $p$=.12  ",---,---,"-.43(-.53,-.33)"," .00( .02), $p$=.90  ",---,---," .13( .01, .25)"," .25( .53), $p$=.64  ",---,---," .04(-.08, .17)"
Perceptual Reasoning,octo,b1,female,aehplus,gait,Block Design,273,"-8.56(3.00), $p$<.01 **","-.44( .13), $p$<.01 ***","(-.68,-.19)","-.44(-.53,-.33)","-.21( .63), $p$=.74  ","-.49( .62), $p$=.42  ","(-1.70, .72)","-.49(-.58,-.40)","-1.66( .66), $p$=.01 *","-.15( .05), $p$<.01 **","(-.25,-.05)","-.15(-.26,-.03)"
Perceptual Reasoning,octo,b1,male,aehplus,gait,Block Design,137,"-4.56(1.81), $p$=.01 *","-.40( .14), $p$<.01 **","(-.67,-.13)","-.40(-.53,-.24)","-.04( .10), $p$=.69  ","-.73(2.52), $p$=.77  ","(-5.66,4.20)","-.74(-.81,-.65)","-.78( .74), $p$=.29  ","-.10( .09), $p$=.28  ","(-.29, .08)","-.10(-.27, .07)"
Perceptual Reasoning,octo,b1,female,aehplus,gait,Figure Logic,270,"-4.50(2.83), $p$=.11  ","-.45( .21), $p$=.04 *","(-.87,-.03)","-.45(-.54,-.35)"," .04( .17), $p$=.80  "," .15( .45), $p$=.74  ","(-.73,1.03)"," .15( .03, .27)","-.52( .65), $p$=.42  ","-.06( .07), $p$=.44  ","(-.20, .09)","-.06(-.17, .06)"
Perceptual Reasoning,octo,b1,male,aehplus,gait,Figure Logic,135,"-2.32(1.32), $p$=.08 .","-.46( .23), $p$=.05 .","(-.91, .00)","-.46(-.58,-.31)"," .00( .07), $p$=.99  "," .02(1.57), $p$=.99  ","(-3.06,3.10)"," .02(-.15, .19)","-.27( .68), $p$=.69  ","-.04( .10), $p$=.68  ","(-.22, .15)","-.04(-.21, .13)"
Perceptual Reasoning,ilse,b1,female,aehplus,tug,IPSS Spatial Ability,225," .17(1.13), $p$=.88  ",---,---," .03(-.10, .16)","-.00( .01), $p$=.93  ",---,---,"-.30(-.42,-.18)","-.35( .50), $p$=.48  ",---,---,"-.08(-.21, .05)"
Perceptual Reasoning,ilse,b1,male,aehplus,tug,IPSS Spatial Ability,252,"-1.18( .78), $p$=.13  ",---,---,"-.41(-.51,-.30)","-.00( .01), $p$=.85  ",---,---,"-.12(-.24, .01)"," .18( .39), $p$=.64  ",---,---," .05(-.08, .17)"
Perceptual Reasoning,map,b1,female,aehplus,gait,Line Orientation,935," .08( .02), $p$<.01 ***"," .26( .06), $p$<.01 ***","( .15, .37)"," .26( .20, .32)"," .00( .00), $p$=.89  ","-.08( .64), $p$=.90  ","(-1.33,1.16)"," .00(-.06, .06)"," .00( .01), $p$=.54  "," .01( .02), $p$=.54  ","(-.03, .06)"," .02(-.05, .08)"
Perceptual Reasoning,map,b1,male,aehplus,gait,Line Orientation,321," .04( .02), $p$=.10 ."," .15( .09), $p$=.09 .","(-.02, .32)"," .15( .04, .25)","-.00( .00), $p$=.22  ","-.66( .67), $p$=.32  ","(-1.97, .65)","-.44(-.53,-.35)"," .02( .01), $p$=.06 ."," .08( .04), $p$=.06 .","(-.00, .16)"," .08(-.03, .18)"
Perceptual Reasoning,ilse,b1,female,aehplus,tug,Picture Comletion,225," .27( .84), $p$=.75  ",---,---," .08(-.05, .21)"," .00( .01), $p$=.90  ",---,---," .17( .04, .30)","-.10( .31), $p$=.74  ",---,---,"-.03(-.16, .10)"
Perceptual Reasoning,ilse,b1,male,aehplus,tug,Picture Comletion,252,"-.32( .47), $p$=.50  ",---,---,"-.23(-.35,-.11)"," .00( .01), $p$=.98  ",---,---," .00(-.12, .12)","-.07( .28), $p$=.79  ",---,---,"-.03(-.15, .10)"
