study name,process,subgroup,model type,n,species,intercept,slope
eas,block,male,ae,350,smoking,"--,p=  ----","--,p=  ----"
eas,block,male,ae,350,cardio,"--,p=  ----","--,p=  ----"
eas,block,male,ae,350,diabetes,"--,p=  ----","--,p=  ----"
eas,block,male,aeh,72,intercept," 61.14(7.99),p<.01"," -0.09(2.07),p=.16"
eas,block,male,aeh,72,age," -0.10(0.43),p=.24"," -0.07(0.11),p=.38"
eas,block,male,aeh,72,education,"  0.70(0.60),p=.24"," -0.05(0.14),p=.58"
eas,block,male,aeh,72,height,"  0.12(0.26),p=.57"," -0.02(0.09),p=.62"
eas,block,male,aeh,72,smoking,"--,p=  ----","--,p=  ----"
eas,block,male,aeh,72,cardio,"--,p=  ----","--,p=  ----"
eas,block,male,aeh,72,diabetes,"--,p=  ----","--,p=  ----"
eas,block,male,aehplus,72,intercept," 65.42(10.03),p<.01"," -0.43(2.94),p=.30"
eas,block,male,aehplus,72,age," -0.13(0.46),p=.45"," -0.07(0.13),p=.47"
eas,block,male,aehplus,72,education,"  0.62(0.73),p=.38"," -0.03(0.17),p=.62"
eas,block,male,aehplus,72,height,"  0.13(0.36),p=.60"," -0.02(0.11),p=.62"
eas,block,male,aehplus,72,smoking," -2.58(5.56),p=.57","  0.50(1.50),p=.76"
eas,block,male,aehplus,72,cardio," -2.16(8.63),p=.85","  0.52(2.37),p=.77"
eas,block,male,aehplus,72,diabetes," -4.55(5.79),p=.63"," -0.43(1.86),p=.81"
eas,block,male,full,72,intercept," 47.62(9.82),p=.01"," -0.43(2.72),p=.43"
eas,block,male,full,72,age," -0.12(0.47),p=.40"," -0.08(0.14),p=.54"
eas,block,male,full,72,education,"  0.38(0.68),p=.44"," -0.10(0.16),p=.52"
eas,block,male,full,72,height,"  0.08(0.30),p=.70"," -0.00(0.10),p=.61"
eas,block,male,full,72,smoking," -2.21(4.87),p=.61","  0.43(1.38),p=.72"
eas,block,male,full,72,cardio," -1.36(7.01),p=.90","  0.72(1.89),p=.73"
eas,block,male,full,72,diabetes," -3.35(5.08),p=.52"," -0.29(1.45),p=.62"
eas,bnt,female,a,594,intercept," 37.18(1.08),p<.01"," -0.92(0.23),p=.37"
eas,bnt,female,a,594,age," -0.42(0.11),p=.19"," -0.03(0.02),p=.19"
eas,bnt,female,a,594,education,"--,p=  ----","--,p=  ----"
eas,bnt,female,a,594,height,"--,p=  ----","--,p=  ----"
eas,bnt,female,a,594,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,female,a,594,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,female,a,594,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,female,ae,594,intercept," 35.01(1.72),p<.01"," -1.14(0.40),p=.33"
eas,bnt,female,ae,594,age," -0.42(0.11),p=.20"," -0.03(0.03),p=.20"
eas,bnt,female,ae,594,education,"  0.34(0.18),p=.25","  0.04(0.04),p=.42"
eas,bnt,female,ae,594,height,"--,p=  ----","--,p=  ----"
eas,bnt,female,ae,594,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,female,ae,594,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,female,ae,594,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,female,aeh,150,intercept," 36.32(2.78),p<.01"," -1.57(0.85),p=.50"
eas,bnt,female,aeh,150,age," -0.37(0.17),p=.32"," -0.03(0.05),p=.40"
eas,bnt,female,aeh,150,education,"  0.25(0.28),p=.25","  0.05(0.08),p=.50"
eas,bnt,female,aeh,150,height,"  0.06(0.11),p=.63","  0.02(0.02),p=.69"
eas,bnt,female,aeh,150,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,female,aeh,150,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,female,aeh,150,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,female,aehplus,150,intercept," 37.89(2.83),p<.01"," -1.73(0.89),p=.37"
eas,bnt,female,aehplus,150,age," -0.40(0.18),p=.30"," -0.03(0.05),p=.47"
eas,bnt,female,aehplus,150,education,"  0.18(0.27),p=.26","  0.07(0.08),p=.59"
eas,bnt,female,aehplus,150,height,"  0.06(0.11),p=.68","  0.02(0.03),p=.74"
eas,bnt,female,aehplus,150,smoking,"  1.13(1.45),p=.25"," -0.01(0.42),p=.94"
eas,bnt,female,aehplus,150,cardio," -1.77(2.64),p=.38","  0.38(0.73),p=.44"
eas,bnt,female,aehplus,150,diabetes," -6.08(2.42),p=.06","  0.12(0.86),p=.79"
eas,bnt,female,full,150,intercept," 39.93(2.89),p<.01"," -1.78(0.94),p=.36"
eas,bnt,female,full,150,age," -0.35(0.18),p=.32"," -0.03(0.05),p=.46"
eas,bnt,female,full,150,education,"  0.18(0.26),p=.26","  0.06(0.09),p=.59"
eas,bnt,female,full,150,height,"  0.11(0.11),p=.55","  0.01(0.03),p=.79"
eas,bnt,female,full,150,smoking,"  0.97(1.38),p=.27"," -0.01(0.45),p=.94"
eas,bnt,female,full,150,cardio," -1.15(2.64),p=.43","  0.36(0.72),p=.46"
eas,bnt,female,full,150,diabetes," -5.61(2.25),p=.06","  0.12(0.89),p=.78"
eas,bnt,male,a,376,intercept," 42.03(1.46),p<.01"," -0.90(0.36),p=.41"
eas,bnt,male,a,376,age," -0.38(0.15),p=.33"," -0.05(0.04),p=.15"
eas,bnt,male,a,376,education,"--,p=  ----","--,p=  ----"
eas,bnt,male,a,376,height,"--,p=  ----","--,p=  ----"
eas,bnt,male,a,376,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,male,a,376,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,male,a,376,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,male,ae,376,intercept," 42.25(2.24),p<.01"," -0.87(0.55),p=.47"
eas,bnt,male,ae,376,age," -0.38(0.15),p=.33"," -0.05(0.04),p=.15"
eas,bnt,male,ae,376,education," -0.03(0.23),p=.82"," -0.00(0.06),p=.97"
eas,bnt,male,ae,376,height,"--,p=  ----","--,p=  ----"
eas,bnt,male,ae,376,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,male,ae,376,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,male,ae,376,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,male,aeh,72,intercept," 40.30(4.22),p<.01"," -0.39(1.34),p=.71"
eas,bnt,male,aeh,72,age," -0.23(0.22),p=.48"," -0.06(0.07),p=.35"
eas,bnt,male,aeh,72,education,"  0.14(0.33),p=.44"," -0.06(0.09),p=.73"
eas,bnt,male,aeh,72,height,"  0.09(0.16),p=.64"," -0.00(0.05),p=.84"
eas,bnt,male,aeh,72,smoking,"--,p=  ----","--,p=  ----"
eas,bnt,male,aeh,72,cardio,"--,p=  ----","--,p=  ----"
eas,bnt,male,aeh,72,diabetes,"--,p=  ----","--,p=  ----"
eas,bnt,male,aehplus,72,intercept," 41.02(6.62),p<.01"," -0.84(2.19),p=.56"
eas,bnt,male,aehplus,72,age," -0.23(0.27),p=.45"," -0.05(0.10),p=.46"
eas,bnt,male,aehplus,72,education,"  0.14(0.51),p=.56"," -0.06(0.14),p=.75"
eas,bnt,male,aehplus,72,height,"  0.08(0.20),p=.72","  0.01(0.07),p=.92"
eas,bnt,male,aehplus,72,smoking,"  0.10(3.18),p=.62","  0.20(1.02),p=.54"
eas,bnt,male,aehplus,72,cardio," -1.24(4.40),p=.82","  0.50(1.67),p=.80"
eas,bnt,male,aehplus,72,diabetes," -1.54(4.09),p=.74","  0.07(1.48),p=.62"
eas,bnt,male,full,72,intercept," 41.57(7.40),p<.01"," -0.79(2.67),p=.52"
eas,bnt,male,full,72,age," -0.24(0.29),p=.44"," -0.05(0.10),p=.50"
eas,bnt,male,full,72,education,"  0.15(0.55),p=.57"," -0.07(0.17),p=.73"
eas,bnt,male,full,72,height,"  0.05(0.21),p=.81","  0.03(0.08),p=.73"
eas,bnt,male,full,72,smoking,"  0.07(3.35),p=.59","  0.09(1.22),p=.54"
eas,bnt,male,full,72,cardio," -1.24(4.86),p=.84","  0.58(1.52),p=.80"
eas,bnt,male,full,72,diabetes," -1.64(4.30),p=.70","  0.24(1.43),p=.52"
eas,categories,female,a,593,intercept," 51.60(1.33),p<.01"," -1.05(0.29),p=.10"
eas,categories,female,a,593,age," -0.54(0.14),p=.20"," -0.05(0.03),p=.11"
eas,categories,female,a,593,education,"--,p=  ----","--,p=  ----"
eas,categories,female,a,593,height,"--,p=  ----","--,p=  ----"
eas,categories,female,a,593,smoking,"--,p=  ----","--,p=  ----"
eas,categories,female,a,593,cardio,"--,p=  ----","--,p=  ----"
eas,categories,female,a,593,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,female,ae,593,intercept," 48.09(2.09),p<.01"," -1.49(0.50),p=.03"
eas,categories,female,ae,593,age," -0.53(0.14),p=.21"," -0.05(0.03),p=.13"
eas,categories,female,ae,593,education,"  0.56(0.22),p=.22","  0.07(0.05),p=.26"
eas,categories,female,ae,593,height,"--,p=  ----","--,p=  ----"
eas,categories,female,ae,593,smoking,"--,p=  ----","--,p=  ----"
eas,categories,female,ae,593,cardio,"--,p=  ----","--,p=  ----"
eas,categories,female,ae,593,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,female,aeh,150,intercept," 49.97(3.60),p<.01"," -1.90(1.00),p=.15"
eas,categories,female,aeh,150,age," -0.51(0.24),p=.16"," -0.05(0.06),p=.41"
eas,categories,female,aeh,150,education,"  0.49(0.37),p=.22","  0.09(0.10),p=.26"
eas,categories,female,aeh,150,height,"  0.01(0.17),p=.44","  0.02(0.04),p=.71"
eas,categories,female,aeh,150,smoking,"--,p=  ----","--,p=  ----"
eas,categories,female,aeh,150,cardio,"--,p=  ----","--,p=  ----"
eas,categories,female,aeh,150,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,female,aehplus,150,intercept," 51.61(3.77),p<.01"," -1.99(1.13),p=.17"
eas,categories,female,aehplus,150,age," -0.55(0.26),p=.18"," -0.05(0.06),p=.41"
eas,categories,female,aehplus,150,education,"  0.41(0.38),p=.24","  0.10(0.11),p=.29"
eas,categories,female,aehplus,150,height,"  0.02(0.18),p=.46","  0.01(0.04),p=.74"
eas,categories,female,aehplus,150,smoking,"  1.36(1.93),p=.48"," -0.01(0.57),p=.88"
eas,categories,female,aehplus,150,cardio," -0.56(3.88),p=.71","  0.14(1.12),p=.84"
eas,categories,female,aehplus,150,diabetes," -7.87(3.00),p=.05","  0.31(0.94),p=.76"
eas,categories,female,full,150,intercept," 53.63(3.88),p<.01"," -1.94(1.13),p=.22"
eas,categories,female,full,150,age," -0.49(0.25),p=.19"," -0.05(0.06),p=.43"
eas,categories,female,full,150,education,"  0.41(0.37),p=.24","  0.10(0.11),p=.30"
eas,categories,female,full,150,height,"  0.07(0.17),p=.35","  0.01(0.04),p=.75"
eas,categories,female,full,150,smoking,"  1.20(1.91),p=.51"," -0.02(0.58),p=.89"
eas,categories,female,full,150,cardio,"  0.08(3.79),p=.77","  0.12(1.13),p=.85"
eas,categories,female,full,150,diabetes," -7.42(2.91),p=.06","  0.34(0.95),p=.74"
eas,categories,male,a,376,intercept," 54.54(1.81),p<.01"," -1.02(0.44),p=.17"
eas,categories,male,a,376,age," -0.49(0.19),p=.03"," -0.06(0.05),p=.18"
eas,categories,male,a,376,education,"--,p=  ----","--,p=  ----"
eas,categories,male,a,376,height,"--,p=  ----","--,p=  ----"
eas,categories,male,a,376,smoking,"--,p=  ----","--,p=  ----"
eas,categories,male,a,376,cardio,"--,p=  ----","--,p=  ----"
eas,categories,male,a,376,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,male,ae,376,intercept," 54.31(2.67),p<.01"," -0.70(0.63),p=.42"
eas,categories,male,ae,376,age," -0.49(0.19),p=.03"," -0.06(0.05),p=.15"
eas,categories,male,ae,376,education,"  0.02(0.25),p=.55"," -0.04(0.07),p=.66"
eas,categories,male,ae,376,height,"--,p=  ----","--,p=  ----"
eas,categories,male,ae,376,smoking,"--,p=  ----","--,p=  ----"
eas,categories,male,ae,376,cardio,"--,p=  ----","--,p=  ----"
eas,categories,male,ae,376,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,male,aeh,72,intercept," 51.19(6.23),p<.01"," -0.12(1.59),p=.57"
eas,categories,male,aeh,72,age," -0.37(0.39),p=.37"," -0.06(0.10),p=.55"
eas,categories,male,aeh,72,education,"  0.59(0.57),p=.28"," -0.12(0.13),p=.45"
eas,categories,male,aeh,72,height,"  0.04(0.22),p=.51"," -0.01(0.06),p=.78"
eas,categories,male,aeh,72,smoking,"--,p=  ----","--,p=  ----"
eas,categories,male,aeh,72,cardio,"--,p=  ----","--,p=  ----"
eas,categories,male,aeh,72,diabetes,"--,p=  ----","--,p=  ----"
eas,categories,male,aehplus,72,intercept," 50.78(9.14),p<.01"," -0.62(2.49),p=.51"
eas,categories,male,aehplus,72,age," -0.37(0.47),p=.47"," -0.05(0.11),p=.66"
eas,categories,male,aehplus,72,education,"  0.65(0.74),p=.34"," -0.13(0.19),p=.53"
eas,categories,male,aehplus,72,height,"  0.02(0.30),p=.61","  0.00(0.09),p=.83"
eas,categories,male,aehplus,72,smoking,"  1.34(5.31),p=.68","  0.21(1.32),p=.61"
eas,categories,male,aehplus,72,cardio," -1.53(7.28),p=.85","  0.64(1.74),p=.72"
eas,categories,male,aehplus,72,diabetes," -1.69(5.03),p=.78","  0.01(1.46),p=.77"
eas,categories,male,full,72,intercept," 52.74(11.20),p<.01"," -0.82(3.20),p=.59"
eas,categories,male,full,72,age," -0.39(0.52),p=.48"," -0.05(0.13),p=.71"
eas,categories,male,full,72,education,"  0.65(0.81),p=.37"," -0.13(0.20),p=.55"
eas,categories,male,full,72,height,"  0.01(0.33),p=.68","  0.01(0.10),p=.81"
eas,categories,male,full,72,smoking,"  0.62(6.17),p=.72","  0.26(1.60),p=.67"
eas,categories,male,full,72,cardio," -1.06(8.24),p=.92","  0.62(1.84),p=.75"
eas,categories,male,full,72,diabetes," -1.13(5.75),p=.89","  0.03(1.63),p=.76"
eas,digit_tot,female,a,595,intercept," 59.60(1.58),p<.01"," -1.11(0.33),p<.01"
eas,digit_tot,female,a,595,age," -0.77(0.16),p=.11"," -0.03(0.04),p=.33"
eas,digit_tot,female,a,595,education,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,a,595,height,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,a,595,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,a,595,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,a,595,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,ae,595,intercept," 55.85(2.64),p<.01"," -1.50(0.59),p=.01"
eas,digit_tot,female,ae,595,age," -0.76(0.16),p=.14"," -0.03(0.04),p=.32"
eas,digit_tot,female,ae,595,education,"  0.59(0.28),p=.31","  0.00(0.06),p=.29"
eas,digit_tot,female,ae,595,height,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,ae,595,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,ae,595,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,ae,595,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,aeh,150,intercept," 59.44(4.37),p<.01"," -1.59(1.18),p=.14"
eas,digit_tot,female,aeh,150,age," -0.79(0.27),p=.17"," -0.03(0.07),p=.41"
eas,digit_tot,female,aeh,150,education,"  0.09(0.45),p=.24","  0.03(0.12),p=.41"
eas,digit_tot,female,aeh,150,height,"  0.11(0.19),p=.60","  0.03(0.04),p=.21"
eas,digit_tot,female,aeh,150,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,aeh,150,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,aeh,150,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,female,aehplus,150,intercept," 61.71(4.38),p<.01"," -1.50(1.27),p=.13"
eas,digit_tot,female,aehplus,150,age," -0.83(0.28),p=.16"," -0.03(0.07),p=.43"
eas,digit_tot,female,aehplus,150,education,"  0.08(0.44),p=.22","  0.03(0.14),p=.32"
eas,digit_tot,female,aehplus,150,height,"  0.12(0.19),p=.63","  0.03(0.04),p=.24"
eas,digit_tot,female,aehplus,150,smoking,"  0.68(2.21),p=.41"," -0.01(0.74),p=.82"
eas,digit_tot,female,aehplus,150,cardio," -2.82(4.86),p=.65","  0.13(1.36),p=.74"
eas,digit_tot,female,aehplus,150,diabetes,"-10.16(3.16),p=.12","  0.14(1.10),p=.72"
eas,digit_tot,female,full,150,intercept," 40.90(2.93),p<.01"," -1.34(0.83),p=.16"
eas,digit_tot,female,full,150,age," -0.37(0.18),p=.32"," -0.03(0.05),p=.34"
eas,digit_tot,female,full,150,education,"  0.23(0.27),p=.24","  0.03(0.09),p=.41"
eas,digit_tot,female,full,150,height,"  0.12(0.12),p=.42","  0.01(0.03),p=.43"
eas,digit_tot,female,full,150,smoking,"  1.09(1.46),p=.41"," -0.11(0.47),p=.88"
eas,digit_tot,female,full,150,cardio," -0.82(3.15),p=.77","  0.03(0.84),p=.71"
eas,digit_tot,female,full,150,diabetes," -5.59(2.17),p=.07","  0.23(0.72),p=.68"
eas,digit_tot,male,a,379,intercept," 61.16(1.85),p<.01"," -1.04(0.39),p=.01"
eas,digit_tot,male,a,379,age," -0.52(0.21),p=.25"," -0.05(0.05),p=.42"
eas,digit_tot,male,a,379,education,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,a,379,height,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,a,379,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,a,379,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,a,379,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,ae,379,intercept," 59.39(2.91),p<.01"," -0.47(0.65),p=.24"
eas,digit_tot,male,ae,379,age," -0.52(0.21),p=.25"," -0.06(0.05),p=.41"
eas,digit_tot,male,ae,379,education,"  0.24(0.29),p=.69"," -0.07(0.07),p=.71"
eas,digit_tot,male,ae,379,height,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,ae,379,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,ae,379,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,ae,379,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,aeh,72,intercept," 58.55(6.32),p<.01"," -1.01(1.81),p=.39"
eas,digit_tot,male,aeh,72,age," -0.28(0.37),p=.57"," -0.02(0.11),p=.60"
eas,digit_tot,male,aeh,72,education,"  0.52(0.52),p=.30","  0.00(0.12),p=.69"
eas,digit_tot,male,aeh,72,height,"  0.04(0.22),p=.15","  0.00(0.08),p=.72"
eas,digit_tot,male,aeh,72,smoking,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,aeh,72,cardio,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,aeh,72,diabetes,"--,p=  ----","--,p=  ----"
eas,digit_tot,male,aehplus,72,intercept," 60.20(8.29),p<.01"," -1.23(3.30),p=.57"
eas,digit_tot,male,aehplus,72,age," -0.27(0.42),p=.67"," -0.02(0.14),p=.74"
eas,digit_tot,male,aehplus,72,education,"  0.55(0.70),p=.37","  0.02(0.24),p=.76"
eas,digit_tot,male,aehplus,72,height,"  0.04(0.26),p=.20","  0.00(0.12),p=.78"
eas,digit_tot,male,aehplus,72,smoking," -0.36(4.66),p=.64","  0.56(1.52),p=.59"
eas,digit_tot,male,aehplus,72,cardio," -1.75(7.19),p=.74","  0.59(2.05),p=.79"
eas,digit_tot,male,aehplus,72,diabetes," -3.21(5.64),p=.65"," -0.22(2.08),p=.91"
eas,digit_tot,male,full,72,intercept," 61.25(11.15),p<.01"," -1.58(3.90),p=.53"
eas,digit_tot,male,full,72,age," -0.30(0.48),p=.66"," -0.01(0.15),p=.76"
eas,digit_tot,male,full,72,education,"  0.57(0.85),p=.41","  0.03(0.28),p=.81"
eas,digit_tot,male,full,72,height,"  0.06(0.29),p=.30"," -0.01(0.13),p=.89"
eas,digit_tot,male,full,72,smoking," -0.51(5.63),p=.72","  0.42(1.61),p=.73"
eas,digit_tot,male,full,72,cardio," -1.83(7.12),p=.73","  0.76(1.92),p=.79"
eas,digit_tot,male,full,72,diabetes," -0.97(5.19),p=.78"," -0.36(1.83),p=.84"
eas,fas,female,a,571,intercept," 48.00(1.51),p<.01"," -0.61(0.31),p<.01"
eas,fas,female,a,571,age," -0.42(0.16),p=.40"," -0.05(0.03),p=.14"
eas,fas,female,a,571,education,"--,p=  ----","--,p=  ----"
eas,fas,female,a,571,height,"--,p=  ----","--,p=  ----"
eas,fas,female,a,571,smoking,"--,p=  ----","--,p=  ----"
eas,fas,female,a,571,cardio,"--,p=  ----","--,p=  ----"
eas,fas,female,a,571,diabetes,"--,p=  ----","--,p=  ----"
eas,fas,female,ae,571,intercept," 41.95(2.29),p<.01"," -0.86(0.52),p=.02"
eas,fas,female,ae,571,age," -0.39(0.15),p=.49"," -0.05(0.03),p=.15"
eas,fas,female,ae,571,education,"  0.94(0.24),p=.25","  0.04(0.06),p=.49"
eas,fas,female,ae,571,height,"--,p=  ----","--,p=  ----"
eas,fas,female,ae,571,smoking,"--,p=  ----","--,p=  ----"
eas,fas,female,ae,571,cardio,"--,p=  ----","--,p=  ----"
eas,fas,female,ae,571,diabetes,"--,p=  ----","--,p=  ----"
eas,fas,female,aeh,150,intercept," 45.78(4.06),p<.01"," -1.11(0.99),p=.24"
eas,fas,female,aeh,150,age," -0.49(0.27),p=.24"," -0.06(0.06),p=.20"
eas,fas,female,aeh,150,education,"  0.77(0.42),p=.25","  0.05(0.10),p=.58"
eas,fas,female,aeh,150,height,"  0.02(0.18),p=.48","  0.02(0.03),p=.74"
eas,fas,female,aeh,150,smoking,"--,p=  ----","--,p=  ----"
eas,fas,female,aeh,150,cardio,"--,p=  ----","--,p=  ----"
eas,fas,female,aeh,150,diabetes,"--,p=  ----","--,p=  ----"
eas,fas,female,aehplus,150,intercept," 47.27(4.34),p<.01"," -1.15(1.06),p=.32"
eas,fas,female,aehplus,150,age," -0.54(0.29),p=.25"," -0.06(0.06),p=.23"
eas,fas,female,aehplus,150,education,"  0.69(0.42),p=.26","  0.05(0.11),p=.57"
eas,fas,female,aehplus,150,height,"  0.01(0.19),p=.48","  0.02(0.03),p=.77"
eas,fas,female,aehplus,150,smoking,"  2.53(2.01),p=.22"," -0.12(0.60),p=.86"
eas,fas,female,aehplus,150,cardio," -2.08(4.41),p=.66","  0.08(1.13),p=.87"
eas,fas,female,aehplus,150,diabetes," -8.75(3.24),p=.05","  0.50(0.88),p=.46"
eas,fas,female,full,150,intercept," 49.32(4.53),p<.01"," -1.15(1.10),p=.28"
eas,fas,female,full,150,age," -0.49(0.30),p=.27"," -0.06(0.07),p=.23"
eas,fas,female,full,150,education,"  0.69(0.41),p=.25","  0.05(0.11),p=.59"
eas,fas,female,full,150,height,"  0.06(0.19),p=.38","  0.01(0.04),p=.81"
eas,fas,female,full,150,smoking,"  2.36(2.03),p=.24"," -0.12(0.65),p=.87"
eas,fas,female,full,150,cardio," -1.41(4.37),p=.73","  0.05(1.07),p=.85"
eas,fas,female,full,150,diabetes," -8.30(3.20),p=.05","  0.52(0.93),p=.48"
eas,fas,male,a,358,intercept," 69.81(2.31),p<.01"," -0.91(0.49),p=.12"
eas,fas,male,a,358,age," -0.39(0.24),p=.10"," -0.07(0.06),p=.35"
eas,fas,male,a,358,education,"--,p=  ----","--,p=  ----"
eas,fas,male,a,358,height,"--,p=  ----","--,p=  ----"
eas,fas,male,a,358,smoking,"--,p=  ----","--,p=  ----"
eas,fas,male,a,358,cardio,"--,p=  ----","--,p=  ----"
eas,fas,male,a,358,diabetes,"--,p=  ----","--,p=  ----"
eas,fas,male,ae,358,intercept," 51.78(2.77),p<.01"," -0.42(0.67),p=.36"
eas,fas,male,ae,358,age," -0.28(0.21),p=.10"," -0.06(0.05),p=.33"
eas,fas,male,ae,358,education," -0.05(0.24),p=.71"," -0.03(0.07),p=.73"
