"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval","model_name","pc_CORR_00","pc_CORR_11","pc_CORR_residual","outcome_count","pc_CORR_00_z","pc_CORR_11_z","pc_CORR_residual_z","pc_ZETA_00_low","pc_ZETA_00_high","pc_ZETA_11_low","pc_ZETA_11_high","pc_ZETA_residual_low","pc_ZETA_residual_high","pc_CI95_00_low","pc_CI95_00_high","pc_CI95_11_low","pc_CI95_11_high","pc_CI95_residual_low","pc_CI95_residual_high","test_00","test_11","test_Res","uni_bi"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:16 PM","hrs","b1","female","aehplus","walking","memory","gait","wordlistimmed",TRUE,370,5,NA,40,-3523.118,7126.237,7282.777,7155.871,7136.20660486322,"b1_female_aehplus_walking_memory_gait_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.031,0.105,0.77,0.001,0.005,0.918,-0.002,0.024,0.949,-0.002,0.053,0.97,0.011,0.009,0.213,0.001,0.007,0.843,0,0.001,0.946,0,0.002,0.913,0.634,0.03,0,1.137,0.14,0,0.02,0.005,0,-0.045,0.018,0.012,0.634,0.03,0,0.789,0.025,0,-0.027,0.009,0.002,5.121,0.156,0,-0.061,0.027,0.024,"b1_female_aehplus_walking_memory_gait_immediaterecall",0.91935123008392,Inf,0.0173501577287066,2,1.58481947729652,NA,0.0173518990041597,1.48251019009774,1.6871287644953,NA,NA,-0.0849573881946228,0.119661186202942,0.901937222872858,0.93378052153013,NA,NA,-0.0847535759839212,0.119093303695875,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:17 PM","hrs","b1","male","aehplus","walking","memory","gait","wordlistimmed",TRUE,318,5,NA,40,-2851.076,5782.151,5932.633,5805.762,5793.99215523466,"b1_male_aehplus_walking_memory_gait_immediaterecall.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.029,0.154,0.851,0,0.014,0.994,0,0.031,0.992,0.002,0.048,0.964,0.008,0.013,0.513,0.002,0.008,0.857,0,0.001,0.947,0,0.002,0.983,0.575,0.029,0,1.05,0.115,0,0.021,0.004,0,-0.067,0.017,0,0.575,0.029,0,0.857,0.037,0,-0.019,0.013,0.142,4.427,0.211,0,-0.067,0.042,0.11,"b1_male_aehplus_walking_memory_gait_immediaterecall",0.632831881684378,NA,0.0139130434782609,2,0.746125652930818,NA,0.0139139413113702,0.635694192887572,0.856557112974063,NA,NA,-0.0965175187318754,0.124345401354616,0.561960648042505,0.694479554981669,NA,NA,-0.0962189241114147,0.123708473249621,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:52 PM","hrs","b1","female","aehplus","muscle","mental","grip","serial7",TRUE,641,5,NA,40,-14693.834,29467.669,29646.19,29519.192,29473.1356666667,"b1_female_aehplus_muscle_mental_hand_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.386,1.568,0.805,-0.032,0.124,0.797,0.185,0.426,0.665,-0.003,0.473,0.995,0.009,0.093,0.926,132.228,64.153,0.039,5.033,2.524,0.046,-24.533,13.119,0.061,14.765,6.165,0.017,0.023,0.77,0.976,0.001,0.101,0.995,-0.001,0.098,0.995,14.765,6.165,0.017,23.643,0.893,0,-0.271,0.188,0.15,2.244,0.155,0,-0.075,0.022,0.001,"b1_female_aehplus_muscle_mental_hand_serial7",0.221340900304022,-0.451062282389998,0.000609549610565526,2,0.225065647696947,-0.486033093817591,0.00060954968605841,0.147469930481101,0.302661364912794,-0.563628811033437,-0.408437376601745,-0.0769861675297878,0.0782052669019046,0.146410120538226,0.293746233346619,-0.510664895898591,-0.387145069085998,-0.0768344315786571,0.0780462198541251,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:54 PM","hrs","b1","male","aehplus","muscle","mental","grip","serial7",TRUE,507,5,NA,40,-12402.588,24885.176,25054.317,24927.352,24892.2146266094,"b1_male_aehplus_muscle_mental_hand_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",0.829,3.614,0.819,0.002,0.188,0.993,0.138,0.722,0.848,-0.18,0.744,0.809,0.013,0.041,0.748,202.939,154.475,0.189,7.248,5.773,0.209,-34.618,31.098,0.266,21.052,14.265,0.14,0.018,1.851,0.992,0.001,0.218,0.996,-0.002,0.498,0.996,21.052,14.265,0.14,35.249,1.107,0,-0.56,0.218,0.01,3.266,0.217,0,-0.195,0.036,0,"b1_male_aehplus_muscle_mental_hand_serial7",0.43374603718277,0.023492049286747,0.000617518525555767,2,0.464501614680774,0.0234963722873317,0.000617518604048385,0.377197879912141,0.551805349449407,-0.0638073624813014,0.110800107055965,-0.0866862161645847,0.0879212533726815,0.360271515777946,0.501872060607147,-0.0637209086105158,0.110348904081757,-0.0864697323225497,0.0876954036226932,"ERROR","-",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:05 PM","hrs","b1","female","aehplus","pulmonary","mental","pek","serial7",TRUE,715,5,NA,40,-25139.255,50358.511,50541.402,50414.392,50363.3774688427,"b1_female_aehplus_pulmonary_mental_peak_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",7.796,299.421,0.979,0.194,16.598,0.991,0.767,67.797,0.991,-0.046,74.801,1,0.213,0.299,0.476,4748.804,268.008,0,199.888,29.24,0,-324.323,52.673,0,240.53,19.271,0,0.14,3.563,0.969,0.006,0.261,0.983,-0.018,0.581,0.975,240.53,19.271,0,255.915,6.171,0,-1.085,1.487,0.466,2.267,0.146,0,-0.089,0.02,0,"b1_female_aehplus_pulmonary_mental_peak_serial7",0.302353980212783,0.177146568245203,0.000885544422733131,2,0.312108410435091,0.17903526593724,0.000885544654211283,0.238655654649923,0.385561166220259,0.105582510152072,0.252488021722409,-0.072567211130957,0.0743383004393795,0.234225557864548,0.367527253519671,0.105191918863514,0.247256010650575,-0.072440099224988,0.0742016667746126,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:08 PM","hrs","b1","male","aehplus","pulmonary","mental","pek","serial7",TRUE,535,5,NA,40,-19823.961,39727.922,39899.212,39772.239,39734.5616761134,"b1_male_aehplus_pulmonary_mental_peak_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",10.972,867.88,0.99,0.392,46.544,0.993,2.753,178.703,0.988,1.159,219.27,0.996,-0.369,0.365,0.311,11945.695,755.896,0,454.448,64.436,0,-658.725,128.463,0,358.55,28.707,0,0.196,5.393,0.971,0.009,0.41,0.983,-0.023,0.857,0.978,358.55,28.707,0,339.459,14.452,0,-5.972,3.486,0.087,3.127,0.221,0,-0.192,0.036,0,"b1_male_aehplus_pulmonary_mental_peak_serial7",0.226752483432714,0.193830766901501,-0.00102914516803793,2,0.230763249744722,0.196314430276722,-0.00102914553137436,0.145788034199577,0.315738465289867,0.111339214731577,0.281289645821867,-0.0860043610765193,0.0839460700137706,0.144763873426025,0.305648552502317,0.1108814153769,0.274098256596257,-0.0857929356760119,0.0837494365468104,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:18 PM","hrs","b1","female","aehplus","walking","mental","gait","serial7",TRUE,370,5,NA,40,-4227.837,8535.674,8692.214,8565.307,8545.64360486322,"b1_female_aehplus_walking_mental_gait_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.032,0.205,0.876,0,0.003,0.928,0.005,0.031,0.872,-0.005,0.021,0.803,0.022,0.015,0.139,0.003,0.007,0.727,0,0.001,0.935,0,0.001,0.818,0.723,0.033,0,1.776,0.146,0,0.043,0.004,0,-0.107,0.02,0,0.723,0.033,0,0.791,0.025,0,-0.027,0.007,0,2.262,0.194,0,-0.035,0.029,0.226,"b1_female_aehplus_walking_mental_gait_serial7",0.438397299480953,NA,0.0304287690179806,2,0.470245062476258,NA,0.0304381656724847,0.367935775277475,0.57255434967504,NA,NA,-0.0718711215262978,0.132747452871267,0.352184838278089,0.517232734399663,NA,NA,-0.0717476275919464,0.131973156732479,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:19 PM","hrs","b1","male","aehplus","walking","mental","gait","serial7",TRUE,318,5,NA,40,-3605.303,7290.606,7441.088,7314.217,7302.44715523466,"b1_male_aehplus_walking_mental_gait_serial7.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\WALK.dat""",0.042,0.192,0.825,0.003,0.005,0.57,-0.001,0.031,0.971,-0.002,0.017,0.886,0.053,0.028,0.058,0.002,0.012,0.857,0,0.001,0.844,0,0.002,0.953,0.714,0.034,0,1.296,0.156,0,0.053,0.005,0,-0.084,0.019,0,0.714,0.034,0,0.864,0.038,0,-0.025,0.011,0.029,3.136,0.278,0,-0.112,0.05,0.024,"b1_male_aehplus_walking_mental_gait_serial7",0.824957911384305,Inf,0.0742296918767507,2,1.17214287605679,NA,0.0743664807577849,1.06171141601355,1.28257433610004,NA,NA,-0.0360649792854606,0.18479794080103,0.786317993029403,0.857169294594681,NA,NA,-0.0360493510511116,0.182722651145183,"ERROR",NA,TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:55 PM","hrs","b1","female","aehplus","muscle","mental","grip","tics",TRUE,641,5,NA,40,-12547.618,25175.235,25353.756,25226.759,25180.7016666667,"b1_female_aehplus_muscle_mental_hand_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",1.213,0.202,0,0.061,0.117,0.6,-0.268,0.315,0.395,-0.2,0.632,0.752,0.247,0.309,0.425,128.195,62.604,0.041,4.743,2.418,0.05,-23.769,12.83,0.064,20.518,8.519,0.016,0.034,0.917,0.97,0.002,0.172,0.991,-0.005,0.286,0.986,20.518,8.519,0.016,23.629,0.889,0,-0.255,0.185,0.169,8.347,0.247,0,-0.068,0.045,0.132,"b1_female_aehplus_muscle_mental_hand_tics",0.58101293215357,0.626308455360926,0.0120382103518862,2,0.6639904808944,0.735318631945653,0.0120387919222848,0.586394763678554,0.741586198110246,0.657722914729807,0.812914349161499,-0.0655569252935614,0.089634509138131,0.527297731462895,0.630102548597442,0.576846026697326,0.671194821365626,-0.0654631715664254,0.0893952265699591,"ERROR","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015","12:57 PM","hrs","b1","male","aehplus","muscle","mental","grip","tics",TRUE,507,5,NA,40,-10628.228,21336.457,21505.597,21378.633,21343.4956266094,"b1_male_aehplus_muscle_mental_hand_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\grip.dat""",-0.011,1.718,0.995,0.028,0.08,0.721,-0.01,0.451,0.983,-0.013,0.473,0.978,-0.288,0.439,0.512,198.917,151.911,0.19,6.946,5.62,0.216,-33.948,30.569,0.267,27.097,18.238,0.137,0.021,2.829,0.994,0.002,0.245,0.994,-0.004,0.463,0.993,27.097,18.238,0.137,35.24,1.112,0,-0.549,0.219,0.012,8.73,0.234,0,-0.144,0.058,0.012,"b1_male_aehplus_muscle_mental_hand_tics",-0.00538204206036785,0.23756127310591,-0.0106284828578809,2,-0.00538209402735701,0.242187929878516,-0.0106288830992836,-0.0926858287959901,0.0819216407412761,0.154884195109883,0.329491664647149,-0.0979326178679167,0.0766748516693495,-0.0924213267556153,0.0817388684219513,0.153657453610907,0.318063941030448,-0.0976207303398402,0.0765249461878783,"-","ERROR",TRUE,"b"
"Mplus VERSION 7.11",0.1,"07/15/2015"," 1:10 PM","hrs","b1","female","aehplus","pulmonary","mental","pek","tics",TRUE,715,5,NA,40,-21230.849,42541.697,42724.589,42597.578,42546.5634688427,"b1_female_aehplus_pulmonary_mental_peak_tics.out"," ""\\tsclient\C\Users\wuche\Dropbox\Research\IALSA\Mplus\Data\peak.dat""",12.13,4.48,0.007,0.384,3.031,0.899,-2.816,35.412,0.937,-0.215,23.284,0.993,0.784,1.142,0.492,4660.628,266.437,0,158.138,23.278,0,-282.742,47.375,0,333.547,26.23,0,0.276,4.53,0.951,0.012,0.343,0.972,-0.046,0.682,0.946,333.547,26.23,0,256.059,6.166,0,-1.266,1.404,0.367,8.391,0.223,0,-0.123,0.044,0.005,"b1_female_aehplus_pulmonary_mental_peak_tics",0.338208127419712,0.278754880854846,0.00235049333377305,2,0.352067832547157,0.286331541785425,0.00235049766247074,0.278615076761989,0.425520588332325,0.212878786000257,0.359784297570594,-0.0711022581226975,0.075803253447639,0.271622818692161,0.401571014840967,0.209720324181631,0.345024023407439,-0.0709826800365243,0.0756583945253899,"ERROR","ERROR",TRUE,"b"
