"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval"
"Mplus VERSION 5.1","0.1","07/07/2015"," 6:13 PM","b1_male_aehplus_muscle_global_grip_mmse.out"," f:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_aehplus_muscle_global_grip_mmse.out","nuage","b1","male","aehplus","grip","mmse",847,4,NA,45,-16556.07,33202.14,33415.517,33272.61,33207.3085393258,TRUE,TRUE,NA,0,2.265,0.738,3.07,0.002,0.129,0.109,1.18,0.238,0.034,0.428,0.079,0.937,-0.041,0.174,-0.235,0.814,0.021,0.219,0.097,0.923,201.383,13.575,14.835,0,1.879,0.886,2.122,0.034,-2.742,2.282,-1.201,0.23,36.122,2.481,14.557,0,0.778,0.139,5.614,0,0.099,0.04,2.491,0.013,0.211,0.053,3.968,0,1.86,0.093,19.909,0,80.723,1.37,58.928,0,-2.359,0.291,-8.097,0,27.709,0.134,207.251,0,-0.212,0.064,-3.344,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39,0.127,-10.959,0,-0.026,0.028,-0.918,0.358,-0.052,0.012,-4.268,0,-0.012,0.007,-1.842,0.066
"Mplus VERSION 5.1","0.1","03/11/2015","11:35 AM","b1_male_age_muscle_global_grip_mmms.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/b1_male_age_muscle_global_grip_mmms.out","nuage","b1","male","age","grip","mmms",851,4,NA,21,-19588.295,39218.589,39318.264,39251.574,39219.7035958987,TRUE,TRUE,NA,0,9.911,2.465,4.021,0,0.335,0.231,1.451,0.147,1.765,1.112,1.587,0.112,0.122,0.582,0.21,0.834,-0.716,0.474,-1.511,0.131,219.362,14.013,15.654,0,1.955,0.896,2.182,0.029,-2.956,2.347,-1.259,0.208,36.034,2.474,14.564,0,13.926,1.114,12.5,0,0.711,0.308,2.308,0.021,2.899,0.391,7.415,0,11.379,0.577,19.717,0,79.887,0.787,101.492,0,-2.477,0.165,-14.987,0,93.605,0.223,420.664,0,-0.559,0.075,-7.454,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.498,0.132,-11.388,0,-0.027,0.028,-0.989,0.323,-0.189,0.039,-4.886,0,-0.052,0.016,-3.294,0.001
"Mplus VERSION 5.1","0.1","06/04/2015","10:04 AM","u0_female_empty_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_female_empty_chair_nocog_nophysspec_nocogspec.out","nuage","u0","female","empty","nophysspec","nocogspec",940,4,NA,5,-11302.253,22614.506,22638.736,22622.856,22614.5702398287,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.965,0.985,9.099,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:05 AM","u0_female_empty_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_female_empty_flamingo_nocog_nophysspec_nocogspec.out","nuage","u0","female","empty","nophysspec","nocogspec",940,4,NA,5,-14955.897,29921.793,29946.023,29930.143,29921.8572398287,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.218,5.469,13.205,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:06 AM","u0_female_empty_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_female_empty_muscle_nocog_grip_nocogspec.out","nuage","u0","female","empty","grip","nocogspec",940,4,NA,5,-14888.413,29786.826,29811.056,29795.176,29786.8902398287,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.082,2.649,18.529,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:06 AM","u0_female_empty_tug_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_female_empty_tug_nocog_nophysspec_nocogspec.out","nuage","u0","female","empty","nophysspec","nocogspec",940,4,NA,5,-9562.919,19135.838,19160.068,19144.188,19135.9022398287,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.212,0.21,10.512,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:06 AM","u0_female_empty_walking_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_female_empty_walking_nocog_nophysspec_nocogspec.out","nuage","u0","female","empty","nophysspec","nocogspec",940,4,NA,5,-6621.688,13253.377,13277.606,13261.726,13253.4412398287,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.368,0.037,10.012,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:05 AM","u0_male_empty_chair_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_male_empty_chair_nocog_nophysspec_nocogspec.out","nuage","u0","male","empty","nophysspec","nocogspec",853,4,NA,5,-9807.96,19625.92,19649.664,19633.786,19625.9908382527,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.871,0.986,5.956,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:05 AM","u0_male_empty_flamingo_nocog_nophysspec_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_male_empty_flamingo_nocog_nophysspec_nocogspec.out","nuage","u0","male","empty","nophysspec","nocogspec",853,4,NA,5,-14435.383,28880.766,28904.51,28888.631,28880.8368382527,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136.549,8.174,16.706,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 5.1","0.1","06/04/2015","10:06 AM","u0_male_empty_muscle_nocog_grip_nocogspec.out"," e:\IALSA\IALSA_retour.dat","C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/nuage/physical-cognitive/u0_male_empty_muscle_nocog_grip_nocogspec.out","nuage","u0","male","empty","grip","nocogspec",853,4,NA,5,-13623.973,27257.945,27281.689,27265.811,27258.0158382527,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.22,2.76,18.193,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
