software,version,date,time,output_file,data_file,file_path,study_name,model_number,subgroup,model_type,subject_count,wave_count,datapoint_count,parameter_count,ll,aic,bic,adj_bic,aaic,has_converged,trust_all,mistrust,covar_covered,ab_tau_00_est,ab_tau_00_se,ab_tau_00_wald,ab_tau_00_pval,ab_tau_11_est,ab_tau_11_se,ab_tau_11_wald,ab_tau_11_pval,ab_tau_01_est,ab_tau_01_se,ab_tau_01_wald,ab_tau_01_pval,ab_tau_10_est,ab_tau_10_se,ab_tau_10_wald,ab_tau_10_pval,ab_sigma_00_est,ab_sigma_00_se,ab_sigma_00_wald,ab_sigma_00_pval,aa_tau_00_est,aa_tau_00_se,aa_tau_00_wald,aa_tau_00_pval,aa_tau_11_est,aa_tau_11_se,aa_tau_11_wald,aa_tau_11_pval,aa_tau_01_est,aa_tau_01_se,aa_tau_01_wald,aa_tau_01_pval,a_sigma_00_est,a_sigma_00_se,a_sigma_00_wald,a_sigma_00_pval,bb_tau_00_est,bb_tau_00_se,bb_tau_00_wald,bb_tau_00_pval,bb_tau_11_est,bb_tau_11_se,bb_tau_11_wald,bb_tau_11_pval,bb_tau_10_est,bb_tau_10_se,bb_tau_10_wald,bb_tau_10_pval,b_sigma_00_est,b_sigma_00_se,b_sigma_00_wald,b_sigma_00_pval,a_gamma_00_est,a_gamma_00_se,a_gamma_00_wald,a_gamma_00_pval,a_gamma_10_est,a_gamma_10_se,a_gamma_10_wald,a_gamma_10_pval,b_gamma_00_est,b_gamma_00_se,b_gamma_00_wald,b_gamma_00_pval,b_gamma_10_est,b_gamma_10_se,b_gamma_10_wald,b_gamma_10_pval,er_tau_00_est,er_tau_00_se,er_tau_00_wald,er_tau_00_pval,er_tau_11_est,er_tau_11_se,er_tau_11_wald,er_tau_11_pval,er_sigma_00_est,er_sigma_00_se,er_sigma_00_wald,er_sigma_00_pval,a_gamma_01_est,a_gamma_01_se,a_gamma_01_wald,a_gamma_01_pval,a_gamma_11_est,a_gamma_11_se,a_gamma_11_wald,a_gamma_11_pval,b_gamma_01_est,b_gamma_01_se,b_gamma_01_wald,b_gamma_01_pval,b_gamma_11_est,b_gamma_11_se,b_gamma_11_wald,b_gamma_11_pval,a_gamma_02_est,a_gamma_02_se,a_gamma_02_wald,a_gamma_02_pval,a_gamma_12_est,a_gamma_12_se,a_gamma_12_wald,a_gamma_12_pval,b_gamma_02_est,b_gamma_02_se,b_gamma_02_wald,b_gamma_02_pval,b_gamma_12_est,b_gamma_12_se,b_gamma_12_wald,b_gamma_12_pval,a_gamma_03_est,a_gamma_03_se,a_gamma_03_wald,a_gamma_03_pval,a_gamma_13_est,a_gamma_13_se,a_gamma_13_wald,a_gamma_13_pval,b_gamma_03_est,b_gamma_03_se,b_gamma_03_wald,b_gamma_03_pval,b_gamma_13_est,b_gamma_13_se,b_gamma_13_wald,b_gamma_13_pval,a_gamma_04_est,a_gamma_04_se,a_gamma_04_wald,a_gamma_04_pval,a_gamma_14_est,a_gamma_14_se,a_gamma_14_wald,a_gamma_14_pval,b_gamma_04_est,b_gamma_04_se,b_gamma_04_wald,b_gamma_04_pval,b_gamma_14_est,b_gamma_14_se,b_gamma_14_wald,b_gamma_14_pval,a_gamma_05_est,a_gamma_05_se,a_gamma_05_wald,a_gamma_05_pval,a_gamma_15_est,a_gamma_15_se,a_gamma_15_wald,a_gamma_15_pval,b_gamma_05_est,b_gamma_05_se,b_gamma_05_wald,b_gamma_05_pval,b_gamma_15_est,b_gamma_15_se,b_gamma_15_wald,b_gamma_15_pval,a_gamma_06_est,a_gamma_06_se,a_gamma_06_wald,a_gamma_06_pval,a_gamma_16_est,a_gamma_16_se,a_gamma_16_wald,a_gamma_16_pval,b_gamma_06_est,b_gamma_06_se,b_gamma_06_wald,b_gamma_06_pval,b_gamma_16_est,b_gamma_16_se,b_gamma_16_wald,b_gamma_16_pval,process_a,process_b,process_b_cell,process_b_row,process_b_domain,outcome_count,cr_levels_est,cr_levels_z,cr_levels_ztest,cr_levels_zpval,cr_levels_zeta_lo,cr_levels_zeta_hi,cr_levels_ci95_lo,cr_levels_ci95_hi,cr_slopes_est,cr_slopes_z,cr_slopes_ztest,cr_slopes_zpval,cr_slopes_zeta_lo,cr_slopes_zeta_hi,cr_slopes_ci95_lo,cr_slopes_ci95_hi,cr_resid_est,cr_resid_z,cr_resid_ztest,cr_resid_zpval,cr_resid_zeta_lo,cr_resid_zeta_hi,cr_resid_ci95_lo,cr_resid_ci95_hi
Mplus VERSION 7.3,0.1,09/15/2015,10:00 AM,u2_female_ae_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_female_ae_walking_nocog_gait_nocogspec.out,eas,u2,female,ae,250,9,NA,16,-3053.278,6138.557,6194.9,6144.179,6140.8917639485,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.305,2.839,-0.108,0.914,385.874,66.318,5.819,0.0,10.643,8.992,1.184,0.237,-3.605,21.502,-0.168,0.867,63.339,4.101,15.446,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.579,5.982,17.314,0.0,-4.595,2.879,-1.596,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.329,0.365,-3.643,0.0,-0.193,0.167,-1.153,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0.381,0.611,0.622,0.534,0.38,0.284,1.339,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:01 AM,u2_female_aeh_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_female_aeh_walking_nocog_gait_nocogspec.out,eas,u2,female,aeh,127,9,NA,19,-1515.711,3069.422,3123.461,3063.375,3076.52480373832,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.966,7.296,0.132,0.895,419.459,110.186,3.807,0.0,10.635,23.346,0.456,0.649,-22.899,50.993,-0.449,0.653,59.297,6.523,9.09,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.638,9.413,10.691,0.0,1.467,5.25,0.28,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.208,0.552,-2.187,0.029,-0.323,0.268,-1.207,0.228,NA,NA,NA,NA,NA,NA,NA,NA,1.051,0.931,1.129,0.259,-0.34,0.483,-0.704,0.482,NA,NA,NA,NA,NA,NA,NA,NA,0.251,0.4,0.628,0.53,-0.14,0.214,-0.653,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:02 AM,u2_female_aehplus_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_female_aehplus_walking_nocog_gait_nocogspec.out,eas,u2,female,aehplus,127,9,NA,28,-1504.921,3065.842,3145.479,3056.931,3082.41342857143,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.459,7.833,0.186,0.852,363.299,114.715,3.167,0.002,10.118,28.572,0.354,0.723,-24.187,56.664,-0.427,0.669,58.268,6.827,8.535,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104.909,9.326,11.249,0.0,1.587,5.431,0.292,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.324,0.567,-2.337,0.019,-0.273,0.282,-0.969,0.333,NA,NA,NA,NA,NA,NA,NA,NA,1.012,0.904,1.12,0.263,-0.476,0.515,-0.924,0.355,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.41,0.587,0.557,-0.118,0.219,-0.536,0.592,NA,NA,NA,NA,NA,NA,NA,NA,1.468,3.681,0.399,0.69,1.064,3.067,0.347,0.729,NA,NA,NA,NA,NA,NA,NA,NA,-3.704,11.227,-0.33,0.741,-1.095,9.071,-0.121,0.904,NA,NA,NA,NA,NA,NA,NA,NA,-17.423,7.823,-2.227,0.026,-0.929,4.657,-0.199,0.842,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015, 9:57 AM,u2_female_age_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_female_age_walking_nocog_gait_nocogspec.out,eas,u2,female,a,250,9,NA,13,-3057.645,6141.291,6187.07,6145.859,6142.83337288136,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264,2.588,-0.102,0.919,398.916,66.728,5.978,0.0,8.766,7.09,1.236,0.216,-4.187,20.163,-0.208,0.836,63.79,4.022,15.859,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.673,3.387,31.204,0.0,-1.862,1.423,-1.309,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.324,0.347,-3.814,0.0,-0.187,0.148,-1.266,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:04 AM,u2_female_full_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_female_full_walking_nocog_gait_nocogspec.out,eas,u2,female,full,127,9,NA,31,-1487.967,3037.934,3126.104,3028.068,3058.81821052632,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.355,7.904,-0.045,0.964,251.951,102.075,2.468,0.014,9.54,29.83,0.32,0.749,-10.674,57.302,-0.186,0.852,58.055,6.702,8.663,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.395,9.039,12.656,0.0,0.134,5.605,0.024,0.981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.054,0.556,-1.895,0.058,-0.346,0.32,-1.08,0.28,NA,NA,NA,NA,NA,NA,NA,NA,1.013,0.861,1.176,0.24,-0.479,0.531,-0.902,0.367,NA,NA,NA,NA,NA,NA,NA,NA,0.508,0.374,1.357,0.175,-0.185,0.229,-0.808,0.419,NA,NA,NA,NA,NA,NA,NA,NA,0.66,3.755,0.176,0.861,1.271,3.285,0.387,0.699,NA,NA,NA,NA,NA,NA,NA,NA,-0.364,9.697,-0.038,0.97,-2.047,8.263,-0.248,0.804,NA,NA,NA,NA,NA,NA,NA,NA,-15.483,7.549,-2.051,0.04,-1.003,5.121,-0.196,0.845,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:10 AM,u2_male_ae_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_male_ae_walking_nocog_gait_nocogspec.out,eas,u2,male,ae,160,8,NA,16,-1944.033,3920.066,3969.269,3918.619,3923.8701958042,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78,6.631,0.872,0.383,396.065,110.846,3.573,0.0,15.789,23.587,0.669,0.503,-34.766,51.724,-0.672,0.501,77.396,7.72,10.025,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.699,7.648,13.035,0.0,2.276,4.117,0.553,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.804,0.483,-1.666,0.096,-0.269,0.261,-1.031,0.302,NA,NA,NA,NA,NA,NA,NA,NA,1.015,0.803,1.265,0.206,-0.311,0.447,-0.694,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:10 AM,u2_male_aeh_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_male_aeh_walking_nocog_gait_nocogspec.out,eas,u2,male,aeh,70,8,NA,19,-823.308,1684.616,1727.337,1667.489,1699.816,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.133,11.489,0.186,0.853,252.229,166.426,1.516,0.13,6.986,47.19,0.148,0.882,-16.159,85.452,-0.189,0.85,71.666,14.092,5.086,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.432,13.872,7.168,0.0,2.112,9.796,0.216,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.884,0.007,0.995,-0.498,0.638,-0.78,0.435,NA,NA,NA,NA,NA,NA,NA,NA,0.971,1.119,0.868,0.386,-0.53,0.822,-0.645,0.519,NA,NA,NA,NA,NA,NA,NA,NA,0.057,0.548,0.103,0.918,0.063,0.422,0.15,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:09 AM,u2_male_aehplus_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_male_aehplus_walking_nocog_gait_nocogspec.out,eas,u2,male,aehplus,70,8,NA,28,-820.981,1697.962,1760.92,1672.723,1737.57175609756,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.866,20.629,0.09,0.928,243.869,266.747,0.914,0.361,6.404,72.474,0.088,0.93,-16.112,143.529,-0.112,0.911,71.958,15.003,4.796,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.375,19.106,5.568,0.0,-2.288,15.298,-0.15,0.881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.013,0.924,-0.014,0.989,-0.464,0.721,-0.643,0.52,NA,NA,NA,NA,NA,NA,NA,NA,0.902,1.342,0.672,0.502,-0.524,0.979,-0.536,0.592,NA,NA,NA,NA,NA,NA,NA,NA,-0.021,0.641,-0.033,0.974,0.139,0.498,0.279,0.78,NA,NA,NA,NA,NA,NA,NA,NA,-5.951,11.527,-0.516,0.606,5.042,9.264,0.544,0.586,NA,NA,NA,NA,NA,NA,NA,NA,-3.229,13.583,-0.238,0.812,0.41,10.404,0.039,0.969,NA,NA,NA,NA,NA,NA,NA,NA,-5.159,12.872,-0.401,0.689,0.208,10.446,0.02,0.984,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:11 AM,u2_male_age_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_male_age_walking_nocog_gait_nocogspec.out,eas,u2,male,a,160,8,NA,13,-1945.451,3916.902,3956.879,3915.726,3919.39515068493,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.605,6.057,1.256,0.209,418.346,103.747,4.032,0.0,22.572,22.192,1.017,0.309,-47.928,47.53,-1.008,0.313,77.443,7.443,10.405,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.59,4.646,23.158,0.0,-0.225,2.419,-0.093,0.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.844,0.488,-1.73,0.084,-0.254,0.265,-0.959,0.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,09/15/2015,10:08 AM,u2_male_full_walking_nocog_gait_nocogspec.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Gait/u2_male_full_walking_nocog_gait_nocogspec.out,eas,u2,male,full,70,8,NA,31,-819.751,1701.503,1771.206,1673.56,1753.71352631579,TRUE,TRUE,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.207,19.962,0.06,0.952,241.073,251.659,0.958,0.338,7.101,71.373,0.099,0.921,-15.525,134.628,-0.115,0.908,71.953,17.243,4.173,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.648,24.676,4.362,0.0,-1.861,17.908,-0.104,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,1.014,-0.01,0.992,-0.488,0.743,-0.657,0.511,NA,NA,NA,NA,NA,NA,NA,NA,0.952,1.564,0.609,0.543,-0.557,1.138,-0.489,0.625,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.692,0.001,0.999,0.106,0.579,0.184,0.854,NA,NA,NA,NA,NA,NA,NA,NA,-7.462,11.966,-0.624,0.533,5.937,9.239,0.643,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-2.194,13.956,-0.157,0.875,-0.291,10.267,-0.028,0.977,NA,NA,NA,NA,NA,NA,NA,NA,-4.045,14.243,-0.284,0.776,-0.427,12.528,-0.034,0.973,NA,NA,NA,NA,NA,NA,NA,NA,gait,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mplus VERSION 7.3,0.1,03/25/2015, 8:31 AM,b1_female_ae_muscle_fluency_grip_bostonnaming.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Grip Output Files/b1_female_ae_muscle_fluency_grip_bostonnaming.out,eas,b1,female,ae,594,8,NA,25,-5494.595,11039.19,11148.862,11069.494,11041.4787323944,TRUE,TRUE,NA,0,3.085,1.287,2.396,0.017,0.007,0.049,0.149,0.882,0.086,0.263,0.325,0.745,-0.507,0.414,-1.227,0.22,0.135,0.218,0.618,0.537,33.059,4.998,6.614,0.0,1.018,0.314,3.243,0.001,-2.062,1.131,-1.823,0.068,6.923,0.387,17.879,0.0,4.331,0.413,10.488,0.0,0.009,0.014,0.61,0.542,0.059,0.071,0.824,0.41,1.933,0.084,23.035,0.0,18.759,1.308,14.339,0.0,-1.051,0.38,-2.769,0.006,9.829,0.293,33.494,0.0,0.022,0.067,0.331,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.031,0.107,-0.293,0.77,-0.054,0.026,-2.069,0.039,-0.056,0.021,-2.665,0.008,-0.007,0.004,-1.554,0.12,-0.026,0.137,-0.192,0.848,0.018,0.041,0.425,0.671,0.323,0.031,10.283,0.0,-0.007,0.008,-0.834,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grip,bnt,bnt,boston naming test,semantic memory,2,0.2578197721536158,0.26377152663665754,6.412415472671875,0.7919559762129349,0.18314938127532712,0.344393671997988,0.18112865429718003,0.33139422223078957,0.07313123309417598,0.0732620259860122,1.7810358645689592,0.07490659193186855,-0.007360119375318219,0.1538841713473426,-0.007359986475646009,0.15268089128835546,0.036903764967360295,0.03692053159999863,0.8975562719368964,0.36942216053948607,-0.04370161376133179,0.11754267696132904,-0.04367381409863786,0.11700431779976882
Mplus VERSION 7.3,0.1,03/25/2015, 8:23 AM,b1_female_ae_muscle_fluency_grip_category.out, C:\Users\Andrea Zammit\Desktop\EASMaster.csv,C:/Users/koval_000/Documents/GitHub/IALSA-2015-Portland/studies/eas/physical-cognitive/without-errors/Grip Output Files/b1_female_ae_muscle_fluency_grip_category.out,eas,b1,female,ae,593,8,NA,25,-7587.787,15225.574,15335.204,15255.836,15227.8667689594,TRUE,TRUE,NA,0,5.411,4.901,1.104,0.27,0.053,0.212,0.251,0.802,0.959,0.969,0.989,0.323,-0.668,1.309,-0.51,0.61,-0.795,0.688,-1.156,0.248,33.654,4.877,6.9,0.0,0.962,0.281,3.422,0.001,-1.918,1.053,-1.822,0.068,6.872,0.391,17.574,0.0,52.973,4.459,11.88,0.0,0.755,0.164,4.619,0.0,0.009,0.688,0.013,0.99,17.911,0.802,22.329,0.0,18.971,1.343,14.129,0.0,-1.143,0.348,-3.285,0.001,35.661,1.055,33.801,0.0,-0.569,0.293,-1.942,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021,0.108,-0.194,0.846,-0.057,0.026,-2.194,0.028,-0.265,0.076,-3.48,0.001,-0.036,0.019,-1.834,0.067,-0.051,0.142,-0.357,0.721,0.025,0.042,0.582,0.56,0.781,0.105,7.461,0.0,0.044,0.03,1.469,0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grip,categories,cat,categories,fluency,2,0.12815392273965984,0.12886249382670698,3.130059099440532,0.8974664547578722,0.04817205353965158,0.20955293411376236,0.04813482626035718,0.20653854440027483,0.062189183914660086,0.06226954258017263,1.512521933908702,0.13040113705036602,-0.018420897706882766,0.14295998286722802,-0.01841881440515302,0.1419939617585324,-0.0716581573451932,-0.07178118890848474,-1.743559020468819,0.08123601427717105,-0.15247162919554014,0.008909251378570654,-0.1513009808637221,0.008909015662824243
