category,domain_0,domain,entry_raw,entry_new,label_row,label_cell,notes,,mplus_name,study_name,
cognitive,memory,short-term memory,wmslmimmed,logic_im,logical memory immediate,logic_im,alternative to logicalmemoryimmed,FALSE,,,
cognitive,memory,episodic memory,logicalmemorydelay,logic_de,logical memory delayed,logic_de,literal,FALSE,,,
cognitive,memory,episodic memory,wmslmdel,logic_de,logical memory delayed,logic_de,alternative to  logicalmemorydelay,FALSE,,,
cognitive,memory,episodic memory,logicalmemorytotal,logic_tot,prose recall total,logic_tot,literal,FALSE,,,
cognitive,memory,episodic memory,logicalmemory,logic_tot,prose recall total,logic_tot,alternative to logicalmemorytotal,FALSE,,,
cognitive,memory,short-term memory,digitsforward,digit_f,digit span forward,digit_f,literal,FALSE,,,
cognitive,memory,short-term memory,digitforward,digit_f,digit span forward,digit_f,alternative to  digitsforward,FALSE,,,
cognitive,memory,short-term memory,dsf,digit_f,digit span forward,digit_f,alternative to  digitsforward,FALSE,,,
cognitive,memory,short-term memory,digitspanforward,digit_f,digit span forward,digit_f,alternative to  digitsforward,FALSE,,,
cognitive,memory,short-term memory,digitspan,digit_tot,digit span total,digit_tot,literal,FALSE,,,
cognitive,memory,short-term memory,digitspantotal,digit_tot,digit span total,digit_tot,alt to digitspan,FALSE,,,
cognitive,workmemory,working memory,digitsback,digit_b,digit span backward,digit_b,literal,FALSE,,,
cognitive,workmemory,working memory,digitspanbackward,digit_b,digit span backward,digit_b,alternative to digitsback,FALSE,,,
cognitive,workmemory,working memory,dsb,digit_b,digit span backward,digit_b,alternative to digitsback,FALSE,,,
cognitive,workmemory,working memory,digitbackward,digit_b,digit span backward,digit_b,misselled digitsback,FALSE,,,
cognitive,workmemory,working memory,digitorder,digit_o,digit ordering,digit_o,literal,FALSE,,,
cognitive,workmemory,working memory,digitordering,digit_o,digit ordering,digit_o,alternative to digitorder,FALSE,,,
cognitive,executive f,executive f(),trailsb,trailsb,switching,trailsb,literal,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,block,block,block design,block,literal,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,blockdesign,block,block design,block,alternative to block,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,waisblockdesign,block,block design,block,alternative to block,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,figurelogic,fig_logic,figure logic,fig_logic,literal,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,matrices,matrices,matrices,matix,literal,TRUE,,,
cognitive,fluid reasoning,fluid reasoning,raven,raven,matrices,raven,alternative to matrices,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,rotations,rotate,rotations,rotate,literal,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,lpsspatialability,piccomp,IPSS spatial ability,piccomp,literal,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,lpsspacialability,piccomp,IPSS spatial ability,piccomp,misspelled   lpsspatialability,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,Waispicturecompletion,piccomp,picture completion,piccomp,alternative to Waispicturecompletition,FALSE,,,
cognitive,fluid reasoning,fluid reasoning,waispicturecompletion,piccomp,picture completion,piccomp,literal,FALSE,,,
cognitive,speed,processing speed,symbol,symbol,substitution,symbol,literal,FALSE,,,
cognitive,speed,processing speed,digitsymbol,symbol,substitution,symbol,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,digitsymol,symbol,substitution,symbol,misspelled symbol,FALSE,,,
cognitive,speed,processing speed,digitsymbolsubstitution,symbol,substitution,symbol,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,digitsymbolsubstitutiontest,symbol,substitution,symbol,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,waisdigitsymbolsubstitution,symbol,substitution,symbol,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,waisdigitsymbolsubstitutiontest,symbol,substitution,symbol,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,codingtask,letter,substitution,letter,alternative to symbol,FALSE,,,
cognitive,speed,processing speed,figureid,fig_id,figure identification,fig_id,literal,FALSE,,,
cognitive,speed,processing speed,figid,fig_id,figure identification,fig_id,alternative to figureid,FALSE,,,
cognitive,speed,processing speed,numbercomparison,num_comp,comparison,num_comp,literal,FALSE,,,
cognitive,speed,processing speed,patterncomparison,pat_comp,comparison,pat_comp,literal,FALSE,,,
cognitive,speed,processing speed,psif,psif,perceptual speed,psif,literal,FALSE,,,
cognitive,mental status,mental status,3ms,3ms,mini mental state exam,3ms,literal,FALSE,,,
cognitive,mental status,mental status,mmms,mmms,mini mental state exam,mmse,alternative,FALSE,,,
cognitive,mental status,mental status,mmse,mmms,mini mental state exam,mmse,literal,FALSE,,,
cognitive,mental status,mental status,clock,clock,clock,clock,literal,TRUE,,,
cognitive,mental status,mental status,serial7,serial7,serial7,serial7,literal,TRUE,,,
cognitive,mental status,mental status,tics,tics,tics,tics,literal,TRUE,,,
cognitive,fluid reasoning,fluid reasoning,analogies,analogies,analogies,analogies,literal,TRUE,,,
cognitive,fluid reasoning,fluid reasoning,anal,analogies,analogies,analogies,misspelled analogies,TRUE,,,
cognitive,perception,language,complexideas,ideas,auditory comprehension,ideas,literal,FALSE,,,
cognitive,perception,perception,lineorientation,line,visual perception,line,literal,FALSE,,,
physical,pulmonary,,fev,fev,,fev,literal,TRUE,,,
physical,pulmonary,,fev100,fev100,,fev,rescaled fev,FALSE,,,
physical,pulmonary,,fevc,fev,,fev,misspelled fev,TRUE,,,
physical,pulmonary,,fev1,fev,,fev,misspelled fev,TRUE,,,
physical,pulmonary,,fvc,fev,,fev,misspelled fev,TRUE,,,
physical,gait,,gait,gait,,gait,literal,TRUE,,,
physical,grip,,grip,grip,,grip,literal,TRUE,,,
physical,grip,,hand,grip,,grip,alternative to grip,TRUE,,,
physical,nophys,,nophys,nophys,,nophys,literal,TRUE,,,
physical,nophys,,univar,nophys,,nophys,alternative to nophys,TRUE,,,
physical,nophys,,nophysspec,nophys,,nophys,alternative,TRUE,,,
physical,pulmonary,,pef,pef,,pef,literal,TRUE,,,
physical,pulmonary,,pek,pef,,pef,alternative to pef in Sweeden,TRUE,,,
physical,pulmonary,,peak,pef,,pef,alternative to pef,TRUE,,,
physical,gait,,tug,tug,,tug,literal,TRUE,,,
model_type,,,0,0,,,literal,TRUE,,,
model_type,,,empty,0,,,alternative to 0,TRUE,,,
model_type,,,a,a,,,literal,TRUE,,,
model_type,,,age,a,,,alternative to age,TRUE,,,
model_type,,,aeg,a,,,misspelled age,TRUE,,,
model_type,,,Age,a,,,misspelled age,TRUE,,,
model_type,,,AGe,a,,,misspelled age,TRUE,,,
model_type,,,ae,ae,,,literal,TRUE,,,
model_type,,,aeh,aeh,,,literal,TRUE,,,
model_type,,,ahe,aeh,,,misspelled aeh,TRUE,,,
model_type,,,aehplus,aehplus,,,literal,TRUE,,,
model_type,,,aheplus,aehplus,,,misspeled aehplus,TRUE,,,
model_type,,,full,full,,,literal,TRUE,,,
